Gas,Source,Time Horizon (years),Value,,,,,,,,,,,,
HFE-356pcc3,SAR,100,,,,,,,,,,,,,
HFE-356pcc3,AR4,100,110,,,,,,,,,,,,
HFE-356pcc3,AR5,100,413,,,,,,,,,,,,
HFE-449sl,SAR,100,,,,,,,,,,,,,
HFE-449sl,AR4,100,297,,,,,,,,,,,,
HFE-449sl,AR5,100,421,,,,,,,,,,,,
HFE-569sf2,SAR,100,,,,,,,,,,,,,
HFE-569sf2,AR4,100,59,,,,,,,,,,,,
HFE-569sf2,AR5,100,57,,,,,,,,,,,,
HFE-43-10pccc124,SAR,100,,,,,,,,,,,,,
HFE-43-10pccc124,AR4,100,1870,,,,,,,,,,,,
HFE-43-10pccc124,AR5,100,2820,,,,,,,,,,,,
HFE-236ca12,SAR,100,,,,,,,,,,,,,
HFE-236ca12,AR4,100,2800,,,,,,,,,,,,
HFE-236ca12,AR5,100,5350,,,,,,,,,,,,
HFE-338pcc13,SAR,100,,,,,,,,,,,,,
HFE-338pcc13,AR4,100,1500,,,,,,,,,,,,
HFE-338pcc13,AR5,100,2910,,,,,,,,,,,,
HFE-227ea,AR5,100,6450,,,,,,,,,,,,
HFE-236ea2,AR5,100,1790,,,,,,,,,,,,
HFE-236fa,AR5,100,979,,,,,,,,,,,,
HFE-245fa1,AR5,100,828,,,,,,,,,,,,
HFE 263fb2,AR5,100,1,,,,,,,,,,,,
HFE-329mcc2,AR5,100,3070,,,,,,,,,,,,
HFE-338mcf2,AR5,100,929,,,,,,,,,,,,
HFE-347mcf2,AR5,100,854,,,,,,,,,,,,
HFE-356mec3,AR5,100,387,,,,,,,,,,,,
HFE-356pcf2,AR5,100,719,,,,,,,,,,,,
HFE-356pcf3,AR5,100,446,,,,,,,,,,,,
HFE 365mcf3,AR5,100,1,,,,,,,,,,,,
HFE-374pc2,AR5,100,627,,,,,,,,,,,,
PFPMIE,AR4,100,10300,,,,,,,,,,,,
PFPMIE,AR5,100,9710,,,,,,,,,,,,
Chloroform,SR,100,4,,,,,,,,,,,,
Chloroform,AR5,100,16,,,,,,,,,,,,
Methylene chloride,SR,100,9,,,,,,,,,,,,
Methylene chloride,AR4,100,8.7,,,,,,,,,,,,
Methylene chloride,AR5,100,9,,,,,,,,,,,,
Methyl chloride,AR4,100,13,,,,,,,,,,,,
Methyl chloride,AR5,100,12,,,,,,,,,,,,
Halon-1201,AR5,100,376,,,,,,,,,,,,
CH4,Forster/Ramaswamy 2007,20,72,,,,,,,,,,,,
CH4,Forster/Ramaswamy 2008,100,25,,,,,,,,,,,,
CH4,Forster/Ramaswamy 2009,500,7.6,,,,,,,,,,,,
N2O,Forster/Ramaswamy 2010,20,289,,,,,,,,,,,,
N2O,Forster/Ramaswamy 2011,100,298,,,,,,,,,,,,
N2O,Forster/Ramaswamy 2012,500,153,,,,,,,,,,,,
CFC-11,Forster/Ramaswamy 2013,20,6730,,,,,,,,,,,,
CFC-11,Forster/Ramaswamy 2014,100,4750,,,,,,,,,,,,
CFC-11,Forster/Ramaswamy 2015,500,1620,,,,,,,,,,,,
CFC-12,Forster/Ramaswamy 2016,20,11000,,,,,,,,,,,,
CFC-12,Forster/Ramaswamy 2017,100,10900,,,,,,,,,,,,
CFC-12,Forster/Ramaswamy 2018,500,5200,,,,,,,,,,,,
CFC-13,Forster/Ramaswamy 2019,20,10800,,,,,,,,,,,,
CFC-13,Forster/Ramaswamy 2020,100,14400,,,,,,,,,,,,
CFC-13,Forster/Ramaswamy 2021,500,16400,,,,,,,,,,,,
CFC-113,Forster/Ramaswamy 2022,20,6540,,,,,,,,,,,,
CFC-113,Forster/Ramaswamy 2023,100,6130,,,,,,,,,,,,
CFC-113,Forster/Ramaswamy 2024,500,2700,,,,,,,,,,,,
CFC-114,Forster/Ramaswamy 2025,20,8040,,,,,,,,,,,,
CFC-114,Forster/Ramaswamy 2026,100,10000,,,,,,,,,,,,
CFC-114,Forster/Ramaswamy 2027,500,8730,,,,,,,,,,,,
CFC-115,Forster/Ramaswamy 2028,20,5310,,,,,,,,,,,,
CFC-115,Forster/Ramaswamy 2029,100,7370,,,,,,,,,,,,
CFC-115,Forster/Ramaswamy 2030,500,9990,,,,,,,,,,,,
Halon-1301,Forster/Ramaswamy 2031,20,8480,,,,,,,,,,,,
Halon-1301,Forster/Ramaswamy 2032,100,7140,,,,,,,,,,,,
Halon-1301,Forster/Ramaswamy 2033,500,2760,,,,,,,,,,,,
Halon-1211,Forster/Ramaswamy 2034,20,4750,,,,,,,,,,,,
Halon-1211,Forster/Ramaswamy 2035,100,1890,,,,,,,,,,,,
Halon-1211,Forster/Ramaswamy 2036,500,575,,,,,,,,,,,,
Halon-2402,Forster/Ramaswamy 2037,20,3680,,,,,,,,,,,,
Halon-2402,Forster/Ramaswamy 2038,100,1640,,,,,,,,,,,,
Halon-2402,Forster/Ramaswamy 2039,500,503,,,,,,,,,,,,
Carbon tetrachloride,Forster/Ramaswamy 2040,20,2700,,,,,,,,,,,,
Carbon tetrachloride,Forster/Ramaswamy 2041,100,1400,,,,,,,,,,,,
Carbon tetrachloride,Forster/Ramaswamy 2042,500,435,,,,,,,,,,,,
Methyl bromide,Forster/Ramaswamy 2043,20,17,,,,,,,,,,,,
Methyl bromide,Forster/Ramaswamy 2044,100,5,,,,,,,,,,,,
Methyl bromide,Forster/Ramaswamy 2045,500,1,,,,,,,,,,,,
Methyl chloroform,Forster/Ramaswamy 2046,20,506,,,,,,,,,,,,
Methyl chloroform,Forster/Ramaswamy 2047,100,146,,,,,,,,,,,,
Methyl chloroform,Forster/Ramaswamy 2048,500,45,,,,,,,,,,,,
HCFC-22,Forster/Ramaswamy 2049,20,5160,,,,,,,,,,,,
HCFC-22,Forster/Ramaswamy 2050,100,1810,,,,,,,,,,,,
HCFC-22,Forster/Ramaswamy 2051,500,549,,,,,,,,,,,,
HCFC-123,Forster/Ramaswamy 2052,20,273,,,,,,,,,,,,
HCFC-123,Forster/Ramaswamy 2053,100,77,,,,,,,,,,,,
HCFC-123,Forster/Ramaswamy 2054,500,24,,,,,,,,,,,,
