Region,Sector,Product_category,Product_long,Product,Flow_category,Flow_long,Flow,End_use
albania,Commercial,Electricity and Heat,Solar thermal,SOLARTH,Final consumption,Commercial and public services,COMMPUB,Low Temperature Heat
albania,Industrial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,Agriculture/forestry,AGRICULT,
albania,Industrial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,Food and tobacco,FOODPRO,
albania,Industrial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,Industry not elsewhere specified,INONSPEC,
albania,Industrial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,Manufacturing,MANUFACT,
albania,Industrial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,Non-metallic minerals,NONMET,
albania,Industrial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Oil products,Other oil products,ONONSPEC,
albania,Industrial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Transformation processes,Charcoal production plants,TCHARCOAL,High Temperature Heat
albania,Industrial,Coal,Anthracite,ANTCOAL,Final consumption,Industry not elsewhere specified,INONSPEC,
albania,Industrial,Coal,Anthracite,ANTCOAL,Final consumption,Manufacturing,MANUFACT,
albania,Industrial,Coal,other bituminous coal,BITCOAL,Final consumption,Industry not elsewhere specified,INONSPEC,
albania,Industrial,Coal,other bituminous coal,BITCOAL,Final consumption,Manufacturing,MANUFACT,
albania,Industrial,Coal,Coking coal,COKCOAL,Transformation processes,Coke ovens,TCOKEOVS,High Temperature Heat
albania,Industrial,Coal,Lignite,LIGNITE,Energy industry own use and Losses,Losses,DISTLOSS,
albania,Industrial,Coal,Lignite,LIGNITE,Heat output,Heat output,HEATOUT,High Temperature Heat
albania,Industrial,Coal,Lignite,LIGNITE,Final consumption,Industry not elsewhere specified,INONSPEC,
albania,Industrial,Coal,Lignite,LIGNITE,Final consumption,Manufacturing,MANUFACT,
albania,Industrial,Coal,Lignite,LIGNITE,Final consumption,Mining and quarrying,MINING,
albania,Industrial,Coal,Lignite,LIGNITE,Final consumption,Non-metallic minerals,NONMET,
albania,Industrial,Coal,Lignite,LIGNITE,Oil products,Other oil products,ONONSPEC,
albania,Industrial,Coal,Lignite,LIGNITE,Final consumption,"Paper, pulp, and print",PAPERPRO,
albania,Industrial,Coal,Lignite,LIGNITE,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,
albania,Industrial,Coal,Lignite,LIGNITE,Transformation processes,Main activity producer heat plants,MAINHEAT,High Temperature Heat
albania,Industrial,Coal,Lignite,LIGNITE,Transformation processes,BKB/peat briquette plants,TBKB,High Temperature Heat
albania,Industrial,Coal,Coke oven coke,OVENCOKE,Final consumption,Iron and steel,IRONSTL,
albania,Industrial,Coal,Coke oven coke,OVENCOKE,Transformation processes,Blast furnaces,TBLASTFUR,High Temperature Heat
albania,Industrial,Coal,Coke oven coke,OVENCOKE,Transformation processes,Coke ovens,TCOKEOVS,High Temperature Heat
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Final consumption,Agriculture/forestry,AGRICULT,
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Final consumption,Chemical and petrochemical,CHEMICAL,
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Final consumption,Construction,CONSTRUC,
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Energy industry own use and Losses,Non-specified (energy),ENONSPEC,
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Energy industry own use and Losses,Oil refineries,EREFINER,
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Final consumption,Food and tobacco,FOODPRO,
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Final consumption,Industry not elsewhere specified,INONSPEC,
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Final consumption,Iron and steel,IRONSTL,
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Final consumption,Manufacturing,MANUFACT,
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Final consumption,Mining and quarrying,MINING,
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Final consumption,Non-ferrous metals,NONFERR,
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Final consumption,Non-metallic minerals,NONMET,
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Final consumption,"Paper, pulp, and print",PAPERPRO,
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Final consumption,Textile and leather,TEXTILES,
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Energy industry own use and Losses,Energy industry own use,TOTENGY,
albania,Industrial,Oil products,Petroleum coke,PETCOKE,Transformation processes,BKB/peat briquette plants,TREFINER,High Temperature Heat
albania,Industrial,Oil products,Bitumen,BITUMEN,Transformation processes,BKB/peat briquette plants,TREFINER,High Temperature Heat
albania,Industrial,Oil products,Bitumen,BITUMEN,Final consumption,Non-energy use in construction,NECONSTRUC,
albania,Industrial,Oil products,Bitumen,BITUMEN,Final consumption,Non-energy use in industry,NEIND,
albania,Industrial,Oil products,Bitumen,BITUMEN,Final consumption,Non-energy use in non-specified industry,NEINONSPEC,
albania,Industrial,Biofuels and Waste,Charcoal,CHARCOAL,Transformation processes,Charcoal production plants,TCHARCOAL,High Temperature Heat
albania,Industrial,Natural gas,Natural gas,NATGAS,Energy industry own use and Losses,Losses,DISTLOSS,
albania,Industrial,Natural gas,Natural gas,NATGAS,Final consumption,Chemical and petrochemical,CHEMICAL,
albania,Industrial,Natural gas,Natural gas,NATGAS,Energy industry own use and Losses,Oil and gas extraction,EOILGASEX,
albania,Industrial,Natural gas,Natural gas,NATGAS,Energy industry own use and Losses,Oil refineries,EREFINER,
