REGION,VARIABLE,UNIT,VALUE,YEAR
World,Primary Energy|Hydro,EJ/yr,11.0615778,2010
World,Primary Energy|Non-Biomass Renewables,EJ/yr,12.8972782,2010
World,Primary Energy|Nuclear,EJ/yr,6.5636624,2010
World,Primary Energy|Oil,EJ/yr,169.713937,2010
World,Primary Energy|Oil|w/ CCS,EJ/yr,0.0266799,2010
World,Primary Energy|Oil|w/o CCS,EJ/yr,169.6872571,2010
World,Primary Energy|Solar,EJ/yr,0.101219962,2010
World,Primary Energy|Wind,EJ/yr,1.233498339,2010
World,Secondary Energy|Electricity,EJ/yr,79.95297715,2010
World,Secondary Energy|Electricity|Biomass,EJ/yr,0.33819713,2010
World,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,0,2010
World,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,0.33819713,2010
World,Secondary Energy|Electricity|Coal,EJ/yr,33.1295292,2010
World,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,0,2010
World,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,33.1295292,2010
World,Secondary Energy|Electricity|Gas,EJ/yr,21.57753049,2010
World,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,0,2010
World,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,21.57753049,2010
World,Secondary Energy|Electricity|Geothermal,EJ/yr,0.5104724,2010
World,Secondary Energy|Electricity|Hydro,EJ/yr,11.0615778,2010
World,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,12.90248751,2010
World,Secondary Energy|Electricity|Nuclear,EJ/yr,9.4822724,2010
World,Secondary Energy|Electricity|Oil,EJ/yr,2.522960418,2010
World,Secondary Energy|Electricity|Oil|w/ CCS,EJ/yr,0,2010
World,Secondary Energy|Electricity|Oil|w/o CCS,EJ/yr,2.522960418,2010
World,Secondary Energy|Electricity|Solar,EJ/yr,0.101219962,2010
World,Secondary Energy|Electricity|Wind,EJ/yr,1.22921735,2010
World,Secondary Energy|Gases,EJ/yr,117.3422742,2010
World,Secondary Energy|Hydrogen,EJ/yr,0.078628639,2010
