Region,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Chad,MtCO2e,25.24,25.52,25.77,26.09,26.31,26.72,29.33,30.98,34.77,35.72,35.05,30.77,34.61,36.56,37.84,39.92,57.34,57.98,57.59,55.87,57.4,57.51,58.27,57.45,56.95,97.42,102.57,106.72
Belgium,MtCO2e,126.89,131.83,129.92,127.74,133.1,133.27,138.63,135.44,138.21,134.36,135.04,135.37,128.09,131.47,130.04,126.18,123.82,119.15,121.49,114.43,121.75,109.56,108.87,110.14,103.74,108.8,107.63,105.53
Ecuador,MtCO2e,76.19,77.04,79.3,79.07,80.67,83.79,87.13,89.18,88.1,85.47,84.68,80.58,80.9,81.49,84.15,85.73,88.16,88.29,89.55,92.9,95.69,96.66,97.97,100.85,101.7,100.43,98.95,97.99
Qatar,MtCO2e,14.08,16.24,16.42,17.34,18.23,19.1,20.05,21.69,23.13,25.37,24.23,26.17,30.5,32.03,35.56,44.85,49.05,56.38,60.66,63.42,69.34,73.72,81.42,83.26,89.53,93.05,94.98,97.65
Afghanistan,MtCO2e,15.2,15.12,13.65,13.48,13.29,13.49,14.44,15.34,16.1,16.91,15.08,13.49,16.13,16.94,16.54,17.41,21.04,24.88,31.59,36.96,44.97,58.66,66.76,74.8,84.62,93.76,95.41,97.36
Libya,MtCO2e,105.32,102.72,99.77,100.49,105.69,107.57,109.81,109.57,111.01,109.46,111.3,115.37,120.15,123.42,127.32,133.59,134.75,132.52,138.42,141.57,145.81,115.16,117.93,109.15,102.27,84.88,86.54,96.44
Morocco,MtCO2e,30.88,32.28,33.4,33.09,36.2,36.82,37.5,39.46,40.38,42.56,43.67,46.83,48.63,48.9,53.45,56.34,69.16,70.4,73.36,73.95,77.75,80.71,82.98,83.79,85.59,88.32,88.05,91.66
Israel,MtCO2e,44.09,45.17,47.95,52.01,55.34,59.17,62.27,65.29,66.66,68.85,73.72,73.44,75.45,76.27,77.37,76.03,80.42,83.61,84.29,83.87,89.32,89.51,96.64,88.48,87.08,89.43,89.35,91.03
Greece,MtCO2e,94.68,94.78,96.86,97.23,99.86,104.25,105.27,106.37,110.67,111.53,117.22,117.99,118.11,121.43,121.19,123.23,121.59,125.15,121.37,114.15,107.41,105.13,99.9,92.33,89.14,87.37,86.34,86.06
Belarus,MtCO2e,126,120.94,107.71,94.93,81.89,73.8,73.38,73.68,71.73,69.4,66.7,58.04,64.64,60.26,61.41,62.53,58.42,55.57,59.64,57.15,61.39,84.5,88.34,87.01,88.06,84.13,80.62,82.27
Uganda,MtCO2e,40.5,41.05,41.38,41.82,41.57,42.34,42.54,43.54,46,45.35,45.4,44.03,47.43,50.89,51.67,54.9,57.04,57.94,66.31,67.75,69.9,71.59,73.8,75.09,76.67,79.22,81.13,82.14
Oman,MtCO2e,14.78,19.16,18.13,17.47,17.38,19.32,19.69,21.28,21.51,24.85,27.09,29.86,31.49,32.24,32.09,32.49,42.4,46.17,45.48,48.39,52.42,58.67,65.31,68.25,72.07,76.26,77.82,78.49
Central African Republic,MtCO2e,52.28,53.04,53.52,54,56.94,57.51,58.72,62.39,67.98,64.63,66.24,60.89,57.14,64.8,59.66,61.92,60.35,61.97,64.74,58.08,62.11,66.47,63.85,67.22,67.55,70.72,75.62,76.04
Botswana,MtCO2e,61.19,60.63,60.89,60.58,60.85,61.78,75.65,86.58,95.96,80.47,68.33,55.5,148.35,89.43,30.21,79.22,41.56,83.81,46.17,28.27,37.57,47.85,34.16,66.36,34.31,131.82,69.97,76.03
Mozambique,MtCO2e,60.28,60.26,60.6,61,60.97,61.21,58.45,56.18,58.9,57.7,55.32,74.59,67.78,66.53,64.7,67.15,58.97,61.05,62.79,60.32,63.02,69.04,70.57,73.18,74.95,75.48,74.1,75.4
Portugal,MtCO2e,57.96,59.67,63.69,62.61,64.52,68.29,66.59,68.88,74.04,80.8,80.29,83.9,88.77,84.39,85.65,89.69,77.77,76.3,74.02,73.24,68.14,68.8,67.16,65.57,64.96,69.16,68.45,72.87
Austria,MtCO2e,64.26,68.47,62.68,62.6,62.69,65.17,68.88,67.87,67.85,66.03,66.24,75.31,77.04,82.93,82.54,82.56,83.17,80.08,79.66,72.69,78.41,75.75,72.53,73.08,69.31,70.44,70.62,72.79
Azerbaijan,MtCO2e,75.54,84.57,60.87,69.01,62.48,60.43,55.79,55.88,56.72,57.03,59.14,59.7,60.61,58.31,59.59,63.58,60.09,58.75,66.33,67.26,71.54,73.84,75.01,74.56,74.74,73.04,73.05,71.65
Mongolia,MtCO2e,52.14,54.37,52.24,51.04,49.27,50.18,49.44,56.53,50.8,50.7,54.69,46.99,48.24,43.74,44.68,46.52,57.55,59.74,59.13,55.4,51.21,56.15,60.45,61.48,63.54,68.87,67.59,70.73
Cambodia,MtCO2e,47.37,47.18,47.83,48.76,47.68,49.85,46.99,48.29,51.8,51.32,49.66,52.6,54.22,56.54,58.49,59.1,51.65,53.26,53.24,54.17,54.7,57.28,56.24,58.62,57.85,62.13,65.46,67.82
Zimbabwe,MtCO2e,71.1,71.4,72.21,68.67,68.41,68.26,69.62,68.79,70.11,72.41,69.58,71.41,67.5,64.7,64.84,65.03,63.91,64.46,62.83,63.73,66.75,67.43,67.68,67.64,66.25,67.59,66.16,66.53
Singapore,MtCO2e,31.59,34.78,37.37,44.26,47.83,49.18,50.62,50.73,49.69,50.64,55.28,55.05,54.17,51.08,52.51,49.8,50.28,51.54,51.85,52.43,56.27,59.28,58.79,59.7,60.88,62.71,64.11,66.15
Papua New Guinea,MtCO2e,63.15,64.15,65.19,66.26,67.13,68.24,54.44,171.05,56.8,56.55,56.39,53.31,76.11,64.69,104.06,61.35,73.28,57.61,63.38,58.76,67.19,58.3,60.25,63.32,74.46,135.48,65.31,65.56
Ireland,MtCO2e,54.35,54.92,55.13,55.78,57.26,58.1,59.65,61.15,64.55,66.11,69.08,71.81,71.07,71.39,70.59,71.85,67.33,65.82,64.62,59.25,58.36,60.59,62.02,61.09,61.25,63.25,65.59,64.96
New Zealand,MtCO2e,47.65,47.1,47.96,47.04,48.77,50.02,50.56,52.86,51.36,53.62,53.78,63.43,64.69,67.16,66.1,67.57,66.35,65.07,65,62.22,62.02,62.2,64.48,64.05,64.54,64.51,63.22,64.8
Nepal,MtCO2e,57.89,58.28,58.14,59.09,59.95,61.2,59.78,60.65,61.9,63.93,64.27,60.92,59.4,63.11,62.3,63.95,36.41,36.45,39.48,43,43.68,43.78,48.11,48.63,51.33,47.23,61.33,63.95
Serbia,MtCO2e,77.37,67.06,61.79,56.03,52.35,58.92,66.39,71.23,70.95,53.61,55.6,57.65,60.93,63.95,69.34,62.5,4.85,4.7,3.21,-0.08,-0.69,67.17,62.34,63.02,55.25,61.66,62.92,63.25
Hungary,MtCO2e,90.76,85.73,75.78,76.33,75.99,74.29,76.49,74.83,74.71,75.43,72.64,76.68,74.66,77.6,76.38,75.41,72.53,70.45,68.96,63.02,62.99,63.53,59.76,57.2,57.65,60.54,61.15,63.06
North Korea,MtCO2e,175.54,168.06,153.88,144.32,132.8,123.8,111.75,104.15,95.52,99.56,102.93,105.9,101.81,103.19,105.41,107.71,111.94,99.4,107.7,91.47,88.01,74.18,75.47,64.91,69.33,62.77,67.48,60.02
Finland,MtCO2e,45.13,45.04,41.93,43.18,49.78,45.78,52.28,50.27,46.59,45.68,44.08,58.66,61.01,69.32,65.25,53.08,60.33,58.39,50.33,46.68,54.75,72.66,66.88,67.65,63.56,60.1,62.81,59.85
Madagascar,MtCO2e,71.71,71.8,72.14,72.6,72.56,72.94,70.88,69.5,71.74,70.74,68.13,60.12,50.6,54.92,55.22,61.04,65.69,69.6,64.25,72,71.69,59.48,55.69,60.06,57.28,56.96,58.13,57.56
Laos,MtCO2e,22.69,22.55,22.81,22.77,23.07,23.07,19.04,18.66,20.32,18.95,18.37,25.38,27.93,28.54,39.83,31.86,28.51,40.12,28.76,31.66,42.05,30.54,34.97,37.7,36.57,41.55,52.29,55.57
Ghana,MtCO2e,34.36,34.63,35.35,35.85,36.33,36.89,36.93,38.33,41.88,40.89,41.71,59.82,61.06,61.15,60,62.98,19.01,19.77,19.29,21.06,23,42.36,44.71,47.7,47.92,50.82,51.26,53.32
Honduras,MtCO2e,53.47,53.61,53.94,53.77,54.47,55.26,53.95,54.27,54.78,53.76,54.22,42.83,43.34,48.85,45.83,48.54,46.65,47.28,47.4,47.61,47.41,50.21,48.35,50.11,50.92,50.31,51.12,51.01
Mali,MtCO2e,23.22,23.18,23.24,23.46,23.72,24.06,25.74,26.73,31.18,32.44,31.65,31.15,31.45,31.13,34.48,34.19,35.06,35.21,37.19,36.72,39.83,40.25,40.92,41.93,42.37,43.65,48.5,50.77
Republic of Congo,MtCO2e,38.08,40.3,40.22,40.18,39.95,40.14,20.15,20.97,20.69,20.59,19.77,26.56,22.98,35.75,40.15,51.29,47.74,43.35,37.87,35.61,43.15,51.94,49.25,50.98,32.24,47.1,48.99,48.39
Bahrain,MtCO2e,14.06,13.76,15.78,16.67,17.12,17.96,19.34,20.33,22.17,22.86,24.02,24.85,26.01,27.07,27.37,30.45,32.88,34.02,36.43,37.01,38.91,39.66,40.88,43.75,45.89,46.94,47.15,47.94
Syria,MtCO2e,56.98,61.35,62.5,62.99,66.4,70.55,73.78,74.23,77.49,76.47,76.48,76.98,77.59,77.94,80.26,91.39,94.67,98.36,99.45,94.23,93.77,88.36,74.75,55.09,47.9,43.36,43.9,46.46
Bulgaria,MtCO2e,86.95,69.73,63.86,62.38,58.49,59.71,60.19,57.67,53.83,46.9,46.32,46.61,43.55,48.36,47.1,47.01,50.99,55.2,52.67,45.2,46.91,52.78,47.08,41.93,44.5,47.14,44.11,46.29
Switzerland,MtCO2e,50.82,53.02,52.94,50.47,49.6,50.53,51.12,49.67,51.21,51.33,50.53,52.46,50.78,51.98,52.42,53.11,50.98,49.05,50.64,49.17,50.73,48.49,49.72,50.74,46.95,46.17,46.66,45.67
Kenya,MtCO2e,97.28,96.05,96.05,95.85,96.11,96.45,95.78,96.04,97.34,99.71,98.31,-8.25,-7.21,-6.06,-3.7,-3.14,15.15,31.12,33.62,33.35,34.05,36.79,38.6,37.27,40.11,43.39,48.5,45.66
Denmark,MtCO2e,68.22,78.84,72.64,75.21,78.91,75.82,89.29,79.62,75.57,72.73,68.52,70.87,70.34,76.12,69.72,65.85,72.89,68.1,64.61,61.79,62.22,55.42,50.35,51.89,47.64,45.56,47.28,45.11
Guinea,MtCO2e,26.78,27.11,27.44,27.81,28.23,28.65,25.7,25.94,27.48,27.28,27.6,29.24,30.27,32.33,34.23,34.3,35.62,36.76,33.53,35.36,37.02,39.5,40.14,40.13,41.61,42.39,45.4,44.77
Sweden,MtCO2e,48.01,48.66,51.21,51.17,52.99,52.53,58.08,51.82,52.63,51.26,46.95,14.7,16.04,17.03,15.61,12.06,57.59,55.38,54.23,50.36,55.94,52.01,49.16,47.47,46.44,46.04,45.48,44.66
Niger,MtCO2e,20.24,20.76,21.3,22.02,22.58,23.23,24.24,24.83,25.82,26.46,27.34,22.56,23.4,24.27,25.17,26.1,27.07,28.31,29.56,30.99,32.39,32.72,35.19,37.02,39.26,41.04,42.76,44.52
Guatemala,MtCO2e,28.94,29.4,30.68,31.44,31.76,32.86,32.31,32.78,36.66,35.35,37.84,37.06,38.88,44.14,38.75,43.76,41.27,44.26,41.7,44.08,43.26,35.36,35.94,37.85,37.97,41.58,43.59,42.89
Tunisia,MtCO2e,19.19,20.24,20.98,22.55,22.54,23.22,24.71,25.41,26.79,28.23,29.81,30.8,31.09,31.41,32.29,32.88,33.72,34.47,34.58,35.13,37.76,35.96,37.01,36.97,39.4,40.12,39.25,40.73
Burkina Faso,MtCO2e,22.87,23.32,23.62,23.88,24.35,24.73,26.2,26.75,27.53,27.44,28.79,25.22,26.54,29.13,30.05,30.76,32.54,33.54,34.07,35.09,36.39,34.37,35.08,35.91,36.33,37.08,38.61,40.25
Somalia,MtCO2e,40.92,38.04,36.12,38.12,40.09,40.77,41.24,41.66,41.54,41.63,41.83,44.25,44.68,44.95,45.28,45.76,42.34,41.28,41.35,41.42,41.67,39.64,39.97,40.15,40.25,40.43,40.06,40.13
Sri Lanka,MtCO2e,28.15,28.1,29.95,30.4,31.31,31.47,31.16,29.03,26.44,25.73,24.83,25.89,26.91,28.15,28.33,30.34,26.21,27.18,27.47,26.61,27.87,31.38,32.86,30.58,33.46,36.5,37.47,38.74
