Region,Sector,Metric,Scenario,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DevelopingECO ,,Natural gas,Baseline,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
DevelopingECO ,,Bioenergy,Baseline,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
DevelopingECO ,,Waste,Baseline,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
DevelopingECO ,,Nuclear,Baseline,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
DevelopingECO ,,Geothermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
DevelopingECO ,,Solar thermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
DevelopingECO ,,Other sources,Baseline,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
DevelopingECO ,,Coal,Pathway,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
DevelopingECO ,,Oil,Pathway,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
DevelopingECO ,,Natural gas,Pathway,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
DevelopingECO ,,Bioenergy,Pathway,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
DevelopingECO ,,Waste,Pathway,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
DevelopingECO ,,Nuclear,Pathway,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
DevelopingECO ,,Geothermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
DevelopingECO ,,Solar thermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
DevelopingECO ,,Other sources,Pathway,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
EU ,,Coal,Baseline,TWh,377,,,,,288,,,,,251,,,,,239,,,,,258,,,,,203,203,203,,,
EU ,,Oil,Baseline,TWh,77,,,,,85,,,,,75,,,,,93,,,,,74,,,,,43,43,43,,,
EU ,,Natural gas,Baseline,TWh,116,,,,,210,,,,,272,,,,,362,,,,,414,,,,,345,345,345,,,
EU ,,Bioenergy,Baseline,TWh,11,,,,,29,,,,,42,,,,,63,,,,,103,,,,,131,131,131,,,
EU ,,Waste,Baseline,TWh,24,,,,,30,,,,,37,,,,,44,,,,,63,,,,,81,81,81,,,
EU ,,Nuclear,Baseline,TWh,7,,,,,2,,,,,1,,,,,2,,,,,1,,,,,1,1,1,,,
EU ,,Geothermal,Baseline,TWh,4,,,,,5,,,,,5,,,,,7,,,,,7,,,,,9,9,9,,,
EU ,,Solar thermal,Baseline,TWh,0.00085,,,,,0.00085,,,,,0.00335,,,,,0.0075,,,,,0.0285,,,,,0.1475,0.1475,0.1475,,,
EU ,,Other sources,Baseline,TWh,26,,,,,15,,,,,17,,,,,18,,,,,20,,,,,27,27,27,,,
EU ,,Coal,Pathway,TWh,377,,,,,288,,,,,251,,,,,239,,,,,258,,,,,203,203,203,,,
EU ,,Oil,Pathway,TWh,77,,,,,85,,,,,75,,,,,93,,,,,74,,,,,43,43,43,,,
EU ,,Natural gas,Pathway,TWh,116,,,,,210,,,,,272,,,,,362,,,,,414,,,,,345,345,345,,,
EU ,,Bioenergy,Pathway,TWh,11,,,,,29,,,,,42,,,,,63,,,,,103,,,,,131,131,131,,,
EU ,,Waste,Pathway,TWh,24,,,,,30,,,,,37,,,,,44,,,,,63,,,,,81,81,81,,,
EU ,,Nuclear,Pathway,TWh,7,,,,,2,,,,,1,,,,,2,,,,,1,,,,,1,1,1,,,
EU ,,Geothermal,Pathway,TWh,4,,,,,5,,,,,5,,,,,7,,,,,7,,,,,9,9,9,,,
EU ,,Solar thermal,Pathway,TWh,0.00085,,,,,0.00085,,,,,0.00335,,,,,0.0075,,,,,0.0285,,,,,0.1475,0.1475,0.1475,,,
EU ,,Other sources,Pathway,TWh,26,,,,,15,,,,,17,,,,,18,,,,,20,,,,,27,27,27,,,
EUR ,,Coal,Baseline,TWh,377,,,,,288,,,,,251,,,,,239,,,,,258,,,,,203,203,203,,,
EUR ,,Oil,Baseline,TWh,77,,,,,85,,,,,75,,,,,93,,,,,74,,,,,43,43,43,,,
EUR ,,Natural gas,Baseline,TWh,116,,,,,210,,,,,272,,,,,362,,,,,414,,,,,345,345,345,,,
EUR ,,Bioenergy,Baseline,TWh,11,,,,,29,,,,,42,,,,,63,,,,,103,,,,,131,131,131,,,
EUR ,,Waste,Baseline,TWh,24,,,,,30,,,,,37,,,,,44,,,,,63,,,,,81,81,81,,,
EUR ,,Nuclear,Baseline,TWh,7,,,,,2,,,,,1,,,,,2,,,,,1,,,,,1,1,1,,,
EUR ,,Geothermal,Baseline,TWh,4,,,,,5,,,,,5,,,,,7,,,,,7,,,,,9,9,9,,,
EUR ,,Solar thermal,Baseline,TWh,0.00085,,,,,0.00085,,,,,0.00335,,,,,0.0075,,,,,0.0285,,,,,0.1475,0.1475,0.1475,,,
EUR ,,Other sources,Baseline,TWh,26,,,,,15,,,,,17,,,,,18,,,,,20,,,,,27,27,27,,,
EUR ,,Coal,Pathway,TWh,377,,,,,288,,,,,251,,,,,239,,,,,258,,,,,203,203,203,,,
EUR ,,Oil,Pathway,TWh,77,,,,,85,,,,,75,,,,,93,,,,,74,,,,,43,43,43,,,
EUR ,,Natural gas,Pathway,TWh,116,,,,,210,,,,,272,,,,,362,,,,,414,,,,,345,345,345,,,
EUR ,,Bioenergy,Pathway,TWh,11,,,,,29,,,,,42,,,,,63,,,,,103,,,,,131,131,131,,,
EUR ,,Waste,Pathway,TWh,24,,,,,30,,,,,37,,,,,44,,,,,63,,,,,81,81,81,,,
EUR ,,Nuclear,Pathway,TWh,7,,,,,2,,,,,1,,,,,2,,,,,1,,,,,1,1,1,,,
EUR ,,Geothermal,Pathway,TWh,4,,,,,5,,,,,5,,,,,7,,,,,7,,,,,9,9,9,,,
EUR ,,Solar thermal,Pathway,TWh,0.00085,,,,,0.00085,,,,,0.00335,,,,,0.0075,,,,,0.0285,,,,,0.1475,0.1475,0.1475,,,
EUR ,,Other sources,Pathway,TWh,26,,,,,15,,,,,17,,,,,18,,,,,20,,,,,27,27,27,,,
EURASIA ,,Coal,Baseline,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
EURASIA ,,Oil,Baseline,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
EURASIA ,,Natural gas,Baseline,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
EURASIA ,,Bioenergy,Baseline,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
EURASIA ,,Waste,Baseline,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
EURASIA ,,Nuclear,Baseline,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
EURASIA ,,Geothermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
EURASIA ,,Solar thermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
EURASIA ,,Other sources,Baseline,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
EURASIA ,,Coal,Pathway,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
EURASIA ,,Oil,Pathway,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
EURASIA ,,Natural gas,Pathway,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
EURASIA ,,Bioenergy,Pathway,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
EURASIA ,,Waste,Pathway,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
EURASIA ,,Nuclear,Pathway,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
EURASIA ,,Geothermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
EURASIA ,,Solar thermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
EURASIA ,,Other sources,Pathway,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
INDIA ,,Coal,Baseline,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
INDIA ,,Oil,Baseline,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
INDIA ,,Natural gas,Baseline,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
INDIA ,,Bioenergy,Baseline,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
INDIA ,,Waste,Baseline,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
INDIA ,,Nuclear,Baseline,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
INDIA ,,Geothermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
INDIA ,,Solar thermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
INDIA ,,Other sources,Baseline,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
INDIA ,,Coal,Pathway,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
INDIA ,,Oil,Pathway,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
INDIA ,,Natural gas,Pathway,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
INDIA ,,Bioenergy,Pathway,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
INDIA ,,Waste,Pathway,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
INDIA ,,Nuclear,Pathway,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
INDIA ,,Geothermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
INDIA ,,Solar thermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
INDIA ,,Other sources,Pathway,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
JPN ,,Coal,Baseline,TWh,377,,,,,288,,,,,251,,,,,239,,,,,258,,,,,203,203,203,,,
JPN ,,Oil,Baseline,TWh,77,,,,,85,,,,,75,,,,,93,,,,,74,,,,,43,43,43,,,
JPN ,,Natural gas,Baseline,TWh,116,,,,,210,,,,,272,,,,,362,,,,,414,,,,,345,345,345,,,
JPN ,,Bioenergy,Baseline,TWh,11,,,,,29,,,,,42,,,,,63,,,,,103,,,,,131,131,131,,,
JPN ,,Waste,Baseline,TWh,24,,,,,30,,,,,37,,,,,44,,,,,63,,,,,81,81,81,,,
JPN ,,Nuclear,Baseline,TWh,7,,,,,2,,,,,1,,,,,2,,,,,1,,,,,1,1,1,,,
JPN ,,Geothermal,Baseline,TWh,4,,,,,5,,,,,5,,,,,7,,,,,7,,,,,9,9,9,,,
JPN ,,Solar thermal,Baseline,TWh,0.00085,,,,,0.00085,,,,,0.00335,,,,,0.0075,,,,,0.0285,,,,,0.1475,0.1475,0.1475,,,
JPN ,,Other sources,Baseline,TWh,26,,,,,15,,,,,17,,,,,18,,,,,20,,,,,27,27,27,,,
JPN ,,Coal,Pathway,TWh,377,,,,,288,,,,,251,,,,,239,,,,,258,,,,,203,203,203,,,
JPN ,,Oil,Pathway,TWh,77,,,,,85,,,,,75,,,,,93,,,,,74,,,,,43,43,43,,,
JPN ,,Natural gas,Pathway,TWh,116,,,,,210,,,,,272,,,,,362,,,,,414,,,,,345,345,345,,,
JPN ,,Bioenergy,Pathway,TWh,11,,,,,29,,,,,42,,,,,63,,,,,103,,,,,131,131,131,,,
JPN ,,Waste,Pathway,TWh,24,,,,,30,,,,,37,,,,,44,,,,,63,,,,,81,81,81,,,
JPN ,,Nuclear,Pathway,TWh,7,,,,,2,,,,,1,,,,,2,,,,,1,,,,,1,1,1,,,
JPN ,,Geothermal,Pathway,TWh,4,,,,,5,,,,,5,,,,,7,,,,,7,,,,,9,9,9,,,
JPN ,,Solar thermal,Pathway,TWh,0.00085,,,,,0.00085,,,,,0.00335,,,,,0.0075,,,,,0.0285,,,,,0.1475,0.1475,0.1475,,,
JPN ,,Other sources,Pathway,TWh,26,,,,,15,,,,,17,,,,,18,,,,,20,,,,,27,27,27,,,
ME ,,Coal,Baseline,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
ME ,,Oil,Baseline,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
ME ,,Natural gas,Baseline,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
ME ,,Bioenergy,Baseline,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
ME ,,Waste,Baseline,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
ME ,,Nuclear,Baseline,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
ME ,,Geothermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
ME ,,Solar thermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
ME ,,Other sources,Baseline,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
ME ,,Coal,Pathway,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
ME ,,Oil,Pathway,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
ME ,,Natural gas,Pathway,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
ME ,,Bioenergy,Pathway,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
ME ,,Waste,Pathway,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
ME ,,Nuclear,Pathway,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
ME ,,Geothermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
ME ,,Solar thermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
ME ,,Other sources,Pathway,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
NAM ,,Coal,Baseline,TWh,377,,,,,288,,,,,251,,,,,239,,,,,258,,,,,203,203,203,,,
NAM ,,Oil,Baseline,TWh,77,,,,,85,,,,,75,,,,,93,,,,,74,,,,,43,43,43,,,
NAM ,,Natural gas,Baseline,TWh,116,,,,,210,,,,,272,,,,,362,,,,,414,,,,,345,345,345,,,
NAM ,,Bioenergy,Baseline,TWh,11,,,,,29,,,,,42,,,,,63,,,,,103,,,,,131,131,131,,,
NAM ,,Waste,Baseline,TWh,24,,,,,30,,,,,37,,,,,44,,,,,63,,,,,81,81,81,,,
NAM ,,Nuclear,Baseline,TWh,7,,,,,2,,,,,1,,,,,2,,,,,1,,,,,1,1,1,,,
NAM ,,Geothermal,Baseline,TWh,4,,,,,5,,,,,5,,,,,7,,,,,7,,,,,9,9,9,,,
NAM ,,Solar thermal,Baseline,TWh,0.00085,,,,,0.00085,,,,,0.00335,,,,,0.0075,,,,,0.0285,,,,,0.1475,0.1475,0.1475,,,
NAM ,,Other sources,Baseline,TWh,26,,,,,15,,,,,17,,,,,18,,,,,20,,,,,27,27,27,,,
NAM ,,Coal,Pathway,TWh,377,,,,,288,,,,,251,,,,,239,,,,,258,,,,,203,203,203,,,
NAM ,,Oil,Pathway,TWh,77,,,,,85,,,,,75,,,,,93,,,,,74,,,,,43,43,43,,,
NAM ,,Natural gas,Pathway,TWh,116,,,,,210,,,,,272,,,,,362,,,,,414,,,,,345,345,345,,,
NAM ,,Bioenergy,Pathway,TWh,11,,,,,29,,,,,42,,,,,63,,,,,103,,,,,131,131,131,,,
NAM ,,Waste,Pathway,TWh,24,,,,,30,,,,,37,,,,,44,,,,,63,,,,,81,81,81,,,
NAM ,,Nuclear,Pathway,TWh,7,,,,,2,,,,,1,,,,,2,,,,,1,,,,,1,1,1,,,
NAM ,,Geothermal,Pathway,TWh,4,,,,,5,,,,,5,,,,,7,,,,,7,,,,,9,9,9,,,
NAM ,,Solar thermal,Pathway,TWh,0.00085,,,,,0.00085,,,,,0.00335,,,,,0.0075,,,,,0.0285,,,,,0.1475,0.1475,0.1475,,,
NAM ,,Other sources,Pathway,TWh,26,,,,,15,,,,,17,,,,,18,,,,,20,,,,,27,27,27,,,
RUS ,,Coal,Baseline,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
RUS ,,Oil,Baseline,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
RUS ,,Natural gas,Baseline,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
RUS ,,Bioenergy,Baseline,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
RUS ,,Waste,Baseline,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
RUS ,,Nuclear,Baseline,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
RUS ,,Geothermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
RUS ,,Solar thermal,Baseline,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
RUS ,,Other sources,Baseline,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
RUS ,,Coal,Pathway,TWh,966,,,,,924,,,,,952,,,,,1091,,,,,1230.4937094,,,,,1397.9934972,1397.9934972,1397.9934972,,,
RUS ,,Oil,Pathway,TWh,632,,,,,453,,,,,247,,,,,177,,,,,160.9714878,,,,,122.693148,122.693148,122.693148,,,
RUS ,,Natural gas,Pathway,TWh,2135,,,,,1779,,,,,1461,,,,,1473,,,,,1452.371736,,,,,1397.9934972,1397.9934972,1397.9934972,,,
RUS ,,Bioenergy,Pathway,TWh,38,,,,,23,,,,,17,,,,,19,,,,,20.8327776,,,,,21.0052914,21.0052914,21.0052914,,,
RUS ,,Waste,Pathway,TWh,6,,,,,12,,,,,18,,,,,22,,,,,31.7861538,,,,,34.0424454,34.0424454,34.0424454,,,
RUS ,,Nuclear,Pathway,TWh,5,,,,,4,,,,,4,,,,,4,,,,,6.1085442,,,,,5.8474122,5.8474122,5.8474122,,,
RUS ,,Geothermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0.0030558,,,,,0.1316772,0.1316772,0.1316772,,,
RUS ,,Solar thermal,Pathway,TWh,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,,,
RUS ,,Other sources,Pathway,TWh,0,,,,,0,,,,,1,,,,,105,,,,,94.5281172,,,,,103.3466004,103.3466004,103.3466004,,,
SAFR ,,Coal,Baseline,TWh,377,,,,,288,,,,,251,,,,,239,,,,,258,,,,,203,203,203,,,
SAFR ,,Oil,Baseline,TWh,77,,,,,85,,,,,75,,,,,93,,,,,74,,,,,43,43,43,,,
SAFR ,,Natural gas,Baseline,TWh,116,,,,,210,,,,,272,,,,,362,,,,,414,,,,,345,345,345,,,
SAFR ,,Bioenergy,Baseline,TWh,11,,,,,29,,,,,42,,,,,63,,,,,103,,,,,131,131,131,,,
SAFR ,,Waste,Baseline,TWh,24,,,,,30,,,,,37,,,,,44,,,,,63,,,,,81,81,81,,,
SAFR ,,Nuclear,Baseline,TWh,7,,,,,2,,,,,1,,,,,2,,,,,1,,,,,1,1,1,,,
SAFR ,,Geothermal,Baseline,TWh,4,,,,,5,,,,,5,,,,,7,,,,,7,,,,,9,9,9,,,
SAFR ,,Solar thermal,Baseline,TWh,0.00085,,,,,0.00085,,,,,0.00335,,,,,0.0075,,,,,0.0285,,,,,0.1475,0.1475,0.1475,,,
SAFR ,,Other sources,Baseline,TWh,26,,,,,15,,,,,17,,,,,18,,,,,20,,,,,27,27,27,,,
SAFR ,,Coal,Pathway,TWh,377,,,,,288,,,,,251,,,,,239,,,,,258,,,,,203,203,203,,,
SAFR ,,Oil,Pathway,TWh,77,,,,,85,,,,,75,,,,,93,,,,,74,,,,,43,43,43,,,
SAFR ,,Natural gas,Pathway,TWh,116,,,,,210,,,,,272,,,,,362,,,,,414,,,,,345,345,345,,,
SAFR ,,Bioenergy,Pathway,TWh,11,,,,,29,,,,,42,,,,,63,,,,,103,,,,,131,131,131,,,
SAFR ,,Waste,Pathway,TWh,24,,,,,30,,,,,37,,,,,44,,,,,63,,,,,81,81,81,,,
SAFR ,,Nuclear,Pathway,TWh,7,,,,,2,,,,,1,,,,,2,,,,,1,,,,,1,1,1,,,
SAFR ,,Geothermal,Pathway,TWh,4,,,,,5,,,,,5,,,,,7,,,,,7,,,,,9,9,9,,,
SAFR ,,Solar thermal,Pathway,TWh,0.00085,,,,,0.00085,,,,,0.00335,,,,,0.0075,,,,,0.0285,,,,,0.1475,0.1475,0.1475,,,
SAFR ,,Other sources,Pathway,TWh,26,,,,,15,,,,,17,,,,,18,,,,,20,,,,,27,27,27,,,
US ,,Coal,Baseline,TWh,377,,,,,288,,,,,251,,,,,239,,,,,258,,,,,203,203,203,,,
US ,,Oil,Baseline,TWh,77,,,,,85,,,,,75,,,,,93,,,,,74,,,,,43,43,43,,,
US ,,Natural gas,Baseline,TWh,116,,,,,210,,,,,272,,,,,362,,,,,414,,,,,345,345,345,,,
US ,,Bioenergy,Baseline,TWh,11,,,,,29,,,,,42,,,,,63,,,,,103,,,,,131,131,131,,,
US ,,Waste,Baseline,TWh,24,,,,,30,,,,,37,,,,,44,,,,,63,,,,,81,81,81,,,
US ,,Nuclear,Baseline,TWh,7,,,,,2,,,,,1,,,,,2,,,,,1,,,,,1,1,1,,,
US ,,Geothermal,Baseline,TWh,4,,,,,5,,,,,5,,,,,7,,,,,7,,,,,9,9,9,,,
US ,,Solar thermal,Baseline,TWh,0.00085,,,,,0.00085,,,,,0.00335,,,,,0.0075,,,,,0.0285,,,,,0.1475,0.1475,0.1475,,,
US ,,Other sources,Baseline,TWh,26,,,,,15,,,,,17,,,,,18,,,,,20,,,,,27,27,27,,,
US ,,Coal,Pathway,TWh,377,,,,,288,,,,,251,,,,,239,,,,,258,,,,,203,203,203,,,
US ,,Oil,Pathway,TWh,77,,,,,85,,,,,75,,,,,93,,,,,74,,,,,43,43,43,,,
US ,,Natural gas,Pathway,TWh,116,,,,,210,,,,,272,,,,,362,,,,,414,,,,,345,345,345,,,
US ,,Bioenergy,Pathway,TWh,11,,,,,29,,,,,42,,,,,63,,,,,103,,,,,131,131,131,,,
US ,,Waste,Pathway,TWh,24,,,,,30,,,,,37,,,,,44,,,,,63,,,,,81,81,81,,,
US ,,Nuclear,Pathway,TWh,7,,,,,2,,,,,1,,,,,2,,,,,1,,,,,1,1,1,,,
US ,,Geothermal,Pathway,TWh,4,,,,,5,,,,,5,,,,,7,,,,,7,,,,,9,9,9,,,
US ,,Solar thermal,Pathway,TWh,0.00085,,,,,0.00085,,,,,0.00335,,,,,0.0075,,,,,0.0285,,,,,0.1475,0.1475,0.1475,,,
US ,,Other sources,Pathway,TWh,26,,,,,15,,,,,17,,,,,18,,,,,20,,,,,27,27,27,,,
