GCAM Region,IEA Region,Sector,Metric,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
OECD90 ,NAM ,Industry,Oil,523,488,465,441,418,395,372,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,360,360
OECD90 ,NAM ,Industry,Natural gas,1558,1581,1616,1651,1674,1709,1744,1779,1872,1907,1953,1988,2023,2070,2105,2139,2151,2163,2174,2186,2198,2198,2198,2209,2209,2221,2221,2221,2232,2232,2232
OECD90 ,NAM ,Industry,Electricity,1116,1104,1104,1104,1104,1104,1104,1104,1139,1151,1163,1174,1186,1197,1209,1221,1221,1232,1232,1244,1244,1244,1256,1267,1279,1279,1290,1302,1314,1325,1337
OECD90 ,NAM ,Industry,Heat,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,46,46,46,46,46,46,46,46,46,46
OECD90 ,NAM ,Industry,Bioenergy,407,407,407,418,418,430,430,441,441,441,453,453,453,453,465,465,465,465,476,476,488,488,488,500,500,511,511,523,523,534,546
OECD90 ,NAM ,Industry,Other renewables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
OECD90 ,NAM ,Transport,Transport,8199,8245,8303,8361,8408,8466,8524,8582,8780,8769,8769,8757,8757,8757,8745,8745,8710,8687,8664,8641,8617,8606,8594,8594,8582,8582,8571,8571,8571,8571,8571
OECD90 ,NAM ,Transport,Oil,7687,7699,7722,7745,7768,7792,7815,7838,8013,7989,7966,7931,7908,7885,7861,7838,7780,7733,7687,7640,7594,7559,7524,7489,7454,7419,7385,7361,7338,7315,7280
OECD90 ,NAM ,Transport,Electricity,11,11,11,11,11,11,11,11,11,11,23,23,23,23,23,23,23,23,23,34,34,34,34,34,46,46,46,46,46,46,58
OECD90 ,NAM ,Transport,Biofuels,279,302,325,348,383,407,430,465,476,488,511,523,534,546,558,569,581,593,604,616,628,639,651,674,686,709,721,732,744,767,779
OECD90 ,NAM ,Transport,Other fuels,209,209,209,220,220,232,232,244,255,255,267,267,267,279,279,290,290,302,314,325,337,348,360,372,383,395,395,407,418,430,430
OECD90 ,NAM ,Buildings,Buildings,6663,6629,6594,6559,6524,6489,6454,6419,6815,6826,6838,6850,6861,6873,6896,6908,6931,6966,7001,7036,7071,7105,7140,7175,7210,7257,7292,7326,7361,7396,7431
OECD90 ,NAM ,Buildings,Coal,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OECD90 ,NAM ,Buildings,Oil,593,569,546,523,500,476,453,441,453,453,441,441,430,430,418,418,407,407,395,395,395,383,372,372,360,360,348,337,337,325,325
OECD90 ,NAM ,Buildings,Natural gas,2395,2384,2384,2384,2372,2372,2372,2372,2628,2628,2616,2616,2616,2616,2616,2605,2605,2616,2628,2640,2640,2640,2651,2663,2663,2674,2674,2674,2686,2686,2698
OECD90 ,NAM ,Buildings,Electricity,3326,3314,3314,3314,3314,3314,3314,3314,3442,3454,3477,3489,3500,3523,3535,3547,3570,3593,3628,3651,3686,3709,3744,3768,3803,3837,3861,3896,3930,3954,3989
OECD90 ,NAM ,Buildings,Heat,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
OECD90 ,NAM ,Buildings,Bioenergy,279,267,255,244,244,232,220,220,220,220,220,220,232,232,232,232,232,232,232,244,244,244,244,255,255,255,255,255,267,267,267
OECD90 ,NAM ,Buildings,   Traditional biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OECD90 ,NAM ,Buildings,Other renewables,23,23,23,23,23,23,23,23,34,34,34,34,46,46,46,46,46,46,58,58,69,69,69,81,81,93,93,93,104,104,116
OECD90 ,NAM ,Other,Other,2221,2232,2256,2279,2291,2314,2337,2360,2442,2512,2593,2674,2744,2826,2907,2977,2977,2988,3000,3000,3012,3012,3023,3023,3035,3035,3035,3035,3035,3035,3035
OECD90 ,NAM ,Other,   Petrochem. feedstock,1314,1256,1197,1139,1081,1023,965,907,942,988,1035,1081,1116,1163,1209,1256,1256,1256,1267,1267,1279,1279,1279,1279,1290,1290,1279,1279,1279,1279,1279
OECD90 ,US ,TPED,Total primary demand,25748,25632,25527,25423,25318,25213,25109,25004,25934,26004,26086,26155,26237,26307,26388,26458,26434,26423,26411,26400,26376,26376,26388,26388,26400,26411,26400,26388,26376,26365,26365
OECD90 ,US ,TPED,Coal,5838,5547,5256,4977,4686,4407,4117,3837,3663,3570,3477,3384,3291,3198,3105,3000,2965,2942,2907,2884,2849,2826,2802,2779,2756,2733,2709,2686,2663,2651,2628
OECD90 ,US ,TPED,Oil,9373,9338,9315,9292,9257,9234,9210,9187,9431,9466,9490,9513,9548,9571,9606,9629,9559,9490,9431,9362,9304,9245,9199,9152,9106,9059,9013,8966,8920,8873,8827
OECD90 ,US ,TPED,Natural gas,6466,6605,6745,6896,7036,7187,7326,7478,8268,8385,8489,8606,8722,8838,8943,9059,9083,9106,9141,9164,9199,9222,9245,9269,9292,9327,9327,9338,9350,9350,9362
OECD90 ,US ,TPED,Nuclear,2535,2535,2535,2535,2535,2535,2535,2535,2546,2500,2453,2407,2372,2326,2279,2244,2221,2198,2174,2151,2128,2093,2070,2046,2011,1988,1953,1930,1895,1872,1849
OECD90 ,US ,TPED,Hydro,255,255,267,267,279,279,290,302,290,290,290,290,290,290,290,302,302,302,302,302,302,302,302,302,314,314,314,314,314,325,325
OECD90 ,US ,TPED,Bioenergy,1035,1046,1069,1093,1104,1128,1151,1174,1197,1209,1232,1256,1267,1290,1314,1325,1349,1372,1395,1418,1442,1465,1500,1523,1558,1581,1604,1628,1663,1686,1721
OECD90 ,US ,TPED,Other renewables,209,244,279,314,348,383,418,453,511,558,604,662,709,767,814,860,907,953,1011,1058,1116,1163,1209,1267,1314,1372,1418,1465,1511,1570,1616
OECD90 ,US ,Power sector,Power sector,10885,10734,10594,10455,10304,10164,10025,9885,10141,10071,9990,9908,9838,9757,9676,9606,9583,9559,9536,9513,9490,9478,9478,9466,9466,9466,9466,9466,9466,9466,9466
OECD90 ,US ,Power sector,Coal,5373,5117,4861,4605,4349,4093,3837,3582,3407,3302,3209,3105,3012,2907,2814,2721,2686,2651,2628,2593,2558,2535,2512,2488,2465,2442,2419,2395,2372,2349,2326
OECD90 ,US ,Power sector,Oil,116,104,104,93,93,81,81,81,93,93,81,69,58,58,46,34,34,34,34,34,34,23,23,23,23,23,11,11,11,11,11
OECD90 ,US ,Power sector,Natural gas,2151,2221,2302,2372,2453,2523,2605,2686,3070,3093,3105,3128,3151,3174,3186,3209,3186,3163,3151,3128,3105,3093,3093,3081,3081,3081,3081,3081,3081,3081,3081
