model,scenario,region,variable,value
PD22,pathway,World ,Nitrogen Fertilizer Management|parameter b max,50
PD22,baseline,World ,Nitrogen Fertilizer Management|parameter b max,100
PD22,pathway,World ,Nitrogen Fertilizer Management|parameter b min,50
PD22,baseline,World ,Nitrogen Fertilizer Management|parameter b min,0
PD22,pathway,World ,Nitrogen Fertilizer Management|saturation point,1
PD22,baseline,World ,Nitrogen Fertilizer Management|saturation point,1
PD22,pathway,World ,Optimal Intensity|Floor,0
PD22,baseline,World ,Optimal Intensity|Floor,0
PD22,pathway,World ,Optimal Intensity|Max annual growth,100
PD22,baseline,World ,Optimal Intensity|Max annual growth,100
PD22,pathway,World ,Optimal Intensity|parameter a max,0.10618
PD22,baseline,World ,Optimal Intensity|parameter a max,100
PD22,pathway,World ,Optimal Intensity|parameter a min,0.10618
PD22,baseline,World ,Optimal Intensity|parameter a min,0
PD22,pathway,World ,Optimal Intensity|parameter b max,44
PD22,baseline,World ,Optimal Intensity|parameter b max,100
PD22,pathway,World ,Optimal Intensity|parameter b min,44
PD22,baseline,World ,Optimal Intensity|parameter b min,0
PD22,pathway,World ,Optimal Intensity|saturation point,1
PD22,baseline,World ,Optimal Intensity|saturation point,1
PD22,pathway,World ,Peat Restoration|Floor,0
PD22,baseline,World ,Peat Restoration|Floor,0
PD22,pathway,World ,Peat Restoration|Max annual growth,100
PD22,baseline,World ,Peat Restoration|Max annual growth,100
PD22,pathway,World ,Peat Restoration|parameter a max,0.11599
PD22,baseline,World ,Peat Restoration|parameter a max,100
PD22,pathway,World ,Peat Restoration|parameter a min,0.11599
PD22,baseline,World ,Peat Restoration|parameter a min,0
PD22,pathway,World ,Peat Restoration|parameter b max,39.84
PD22,baseline,World ,Peat Restoration|parameter b max,100
PD22,pathway,World ,Peat Restoration|parameter b min,39.84
PD22,baseline,World ,Peat Restoration|parameter b min,0
PD22,pathway,World ,Peat Restoration|saturation point,1
PD22,baseline,World ,Peat Restoration|saturation point,1
PD22,pathway,World ,Agriculture|Floor,0
PD22,baseline,World ,Agriculture|Floor,0
PD22,pathway,World ,Agriculture|Max annual growth,100
PD22,baseline,World ,Agriculture|Max annual growth,100
PD22,pathway,World ,Agriculture|parameter a max,0.5
PD22,baseline,World ,Agriculture|parameter a max,100
PD22,pathway,World ,Agriculture|parameter a min,0
PD22,baseline,World ,Agriculture|parameter a min,0
PD22,pathway,World ,Agriculture|parameter b max,100
PD22,baseline,World ,Agriculture|parameter b max,100
PD22,pathway,World ,Agriculture|parameter b min,0
PD22,baseline,World ,Agriculture|parameter b min,0
PD22,pathway,World ,Agriculture|saturation point,1
PD22,baseline,World ,Agriculture|saturation point,1
PD22,pathway,World ,Silvopasture|Floor,0
PD22,baseline,World ,Silvopasture|Floor,0
PD22,pathway,World ,Silvopasture|Max annual growth,100
PD22,baseline,World ,Silvopasture|Max annual growth,100
PD22,pathway,World ,Silvopasture|parameter a max,0.10618
PD22,baseline,World ,Silvopasture|parameter a max,100
PD22,pathway,World ,Silvopasture|parameter a min,0.10618
PD22,baseline,World ,Silvopasture|parameter a min,0
PD22,pathway,World ,Silvopasture|parameter b max,35
PD22,baseline,World ,Silvopasture|parameter b max,100
PD22,pathway,World ,Silvopasture|parameter b min,35
PD22,baseline,World ,Silvopasture|parameter b min,0
PD22,pathway,World ,Silvopasture|saturation point,1
PD22,baseline,World ,Silvopasture|saturation point,1
PD22,pathway,World ,Trees in Croplands|Floor,0
PD22,baseline,World ,Trees in Croplands|Floor,0
PD22,pathway,World ,Trees in Croplands|Max annual growth,100
PD22,baseline,World ,Trees in Croplands|Max annual growth,100
PD22,pathway,World ,Trees in Croplands|parameter a max,0.10618
PD22,baseline,World ,Trees in Croplands|parameter a max,100
PD22,pathway,World ,Trees in Croplands|parameter a min,0.10618
PD22,baseline,World ,Trees in Croplands|parameter a min,0
PD22,pathway,World ,Trees in Croplands|parameter b max,36
PD22,baseline,World ,Trees in Croplands|parameter b max,100
PD22,pathway,World ,Trees in Croplands|parameter b min,40
