Product,Flow,Sector,EIA Product,WWS EF Product,WWS Upstream Product,WWS Addtl Efficiency
BIODIESEL,AGRICULT,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,AUTOCHP,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,AUTOELEC,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,AVBUNK,Transportation,Liquid fuels,hydrogen ef ratio,N,biofuels_waste addtl eff
BIODIESEL,CHEMICAL,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,COMMPUB,Commercial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,CONSTRUC,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,DISTLOSS,Transportation,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,DOMESNAV,Transportation,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,EBLASTFUR,Industrial,Total,heat ef ratio,Y,na
BIODIESEL,ELAUTOC,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,ELAUTOE,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,ELMAINC,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,ELMAINE,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,ELOUTPUT,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,EMINES,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,ENONSPEC,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,EOILGASEX,Industrial,Liquid fuels,biofuels_waste ef ratio,Y,na
BIODIESEL,EREFINER,Industrial,Liquid fuels,biofuels_waste ef ratio,Y,na
BIODIESEL,EXPORTS,Total energy consumption,Total,na,N,na
BIODIESEL,FISHING,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,FOODPRO,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,HEATOUT,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,HEMAINC,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,HEMAINH,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,IMPORTS,Total energy consumption,Total,na,N,na
BIODIESEL,INDPROD,Total energy consumption,Total,na,N,na
BIODIESEL,INONSPEC,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,IRONSTL,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,MACHINE,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,MAINCHP,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,MAINELEC,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,MANUFACT,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
