Region,Variable,Unit,IEA Sector,IEA Metric,GCAM Metric,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,EIA Metric,BNEF Metric,WWS Metric
World ,Primary Energy | Oil,EJ/yr,TPED,Oil,Primary Energy | Oil,1.000966183574879,1.0015762464168947,1.0021645098670733,1.0027309739254138,1.0032756385919166,1.0037985038665822,1.0042995697494101,1.0047788362404004,1.0052363033395533,1.0056719710468682,1.006085839362346,1.006477908285986,1.0068481778177887,1.0071966479577534,1.0075233187058805,1.0078281900621704,1.0081112620266226,1.008372534599237,1.008612007780014,1.0088296815689537,1.0090255559660555,1.0091996309713196,1.0093519065847465,1.0094823828063357,1.0095910596360873,1.0096779370740012,1.0097430151200777,1.0097862937743165,1.0098077730367179,1.0098074529072816,1.0097853333860076,1.0097414144728964,1.0096756961679474,1.009588178471161,1.0094788613825365,1.009347744902075,1.0091948290297756,1.0090201137656387,1.0088235991096641,1.0086052850618523,1.0083651716222028,1.0081032587907157,1.007819546567391,1.0075140349522287,1.0071867239452288,1.0068376135463915,1.0064667037557165,1.0060739945732038,1.0056594859988537,1.005223178032666,1.0047650706746405,1.0042851639247776,1.003783457783077,1.0032599522495393,1.0027146473241637,1.0021475430069504,1.0015586392978997,1.0009479361970115,1.0003154337042854,0.999661131819722,Fossil fuels,Coal,
OECD90 ,Primary Energy | Oil,EJ/yr,TPED,Oil,Primary Energy | Oil,1.000966183574879,1.0015762464168947,1.0021645098670733,1.0027309739254138,1.0032756385919166,1.0037985038665822,1.0042995697494101,1.0047788362404004,1.0052363033395533,1.0056719710468682,1.006085839362346,1.006477908285986,1.0068481778177887,1.0071966479577534,1.0075233187058805,1.0078281900621704,1.0081112620266226,1.008372534599237,1.008612007780014,1.0088296815689537,1.0090255559660555,1.0091996309713196,1.0093519065847465,1.0094823828063357,1.0095910596360873,1.0096779370740012,1.0097430151200777,1.0097862937743165,1.0098077730367179,1.0098074529072816,1.0097853333860076,1.0097414144728964,1.0096756961679474,1.009588178471161,1.0094788613825365,1.009347744902075,1.0091948290297756,1.0090201137656387,1.0088235991096641,1.0086052850618523,1.0083651716222028,1.0081032587907157,1.007819546567391,1.0075140349522287,1.0071867239452288,1.0068376135463915,1.0064667037557165,1.0060739945732038,1.0056594859988537,1.005223178032666,1.0047650706746405,1.0042851639247776,1.003783457783077,1.0032599522495393,1.0027146473241637,1.0021475430069504,1.0015586392978997,1.0009479361970115,1.0003154337042854,0.999661131819722,Fossil fuels,Coal,
LAM ,Primary Energy | Oil,EJ/yr,TPED,Oil,Primary Energy | Oil,1.000966183574879,1.0015762464168947,1.0021645098670733,1.0027309739254138,1.0032756385919166,1.0037985038665822,1.0042995697494101,1.0047788362404004,1.0052363033395533,1.0056719710468682,1.006085839362346,1.006477908285986,1.0068481778177887,1.0071966479577534,1.0075233187058805,1.0078281900621704,1.0081112620266226,1.008372534599237,1.008612007780014,1.0088296815689537,1.0090255559660555,1.0091996309713196,1.0093519065847465,1.0094823828063357,1.0095910596360873,1.0096779370740012,1.0097430151200777,1.0097862937743165,1.0098077730367179,1.0098074529072816,1.0097853333860076,1.0097414144728964,1.0096756961679474,1.009588178471161,1.0094788613825365,1.009347744902075,1.0091948290297756,1.0090201137656387,1.0088235991096641,1.0086052850618523,1.0083651716222028,1.0081032587907157,1.007819546567391,1.0075140349522287,1.0071867239452288,1.0068376135463915,1.0064667037557165,1.0060739945732038,1.0056594859988537,1.005223178032666,1.0047650706746405,1.0042851639247776,1.003783457783077,1.0032599522495393,1.0027146473241637,1.0021475430069504,1.0015586392978997,1.0009479361970115,1.0003154337042854,0.999661131819722,Fossil fuels,Coal,
MAF ,Primary Energy | Oil,EJ/yr,TPED,Oil,Primary Energy | Oil,1.000966183574879,1.0015762464168947,1.0021645098670733,1.0027309739254138,1.0032756385919166,1.0037985038665822,1.0042995697494101,1.0047788362404004,1.0052363033395533,1.0056719710468682,1.006085839362346,1.006477908285986,1.0068481778177887,1.0071966479577534,1.0075233187058805,1.0078281900621704,1.0081112620266226,1.008372534599237,1.008612007780014,1.0088296815689537,1.0090255559660555,1.0091996309713196,1.0093519065847465,1.0094823828063357,1.0095910596360873,1.0096779370740012,1.0097430151200777,1.0097862937743165,1.0098077730367179,1.0098074529072816,1.0097853333860076,1.0097414144728964,1.0096756961679474,1.009588178471161,1.0094788613825365,1.009347744902075,1.0091948290297756,1.0090201137656387,1.0088235991096641,1.0086052850618523,1.0083651716222028,1.0081032587907157,1.007819546567391,1.0075140349522287,1.0071867239452288,1.0068376135463915,1.0064667037557165,1.0060739945732038,1.0056594859988537,1.005223178032666,1.0047650706746405,1.0042851639247776,1.003783457783077,1.0032599522495393,1.0027146473241637,1.0021475430069504,1.0015586392978997,1.0009479361970115,1.0003154337042854,0.999661131819722,Fossil fuels,Coal,
ASIA ,Primary Energy | Oil,EJ/yr,TPED,Oil,Primary Energy | Oil,1.000966183574879,1.0015762464168947,1.0021645098670733,1.0027309739254138,1.0032756385919166,1.0037985038665822,1.0042995697494101,1.0047788362404004,1.0052363033395533,1.0056719710468682,1.006085839362346,1.006477908285986,1.0068481778177887,1.0071966479577534,1.0075233187058805,1.0078281900621704,1.0081112620266226,1.008372534599237,1.008612007780014,1.0088296815689537,1.0090255559660555,1.0091996309713196,1.0093519065847465,1.0094823828063357,1.0095910596360873,1.0096779370740012,1.0097430151200777,1.0097862937743165,1.0098077730367179,1.0098074529072816,1.0097853333860076,1.0097414144728964,1.0096756961679474,1.009588178471161,1.0094788613825365,1.009347744902075,1.0091948290297756,1.0090201137656387,1.0088235991096641,1.0086052850618523,1.0083651716222028,1.0081032587907157,1.007819546567391,1.0075140349522287,1.0071867239452288,1.0068376135463915,1.0064667037557165,1.0060739945732038,1.0056594859988537,1.005223178032666,1.0047650706746405,1.0042851639247776,1.003783457783077,1.0032599522495393,1.0027146473241637,1.0021475430069504,1.0015586392978997,1.0009479361970115,1.0003154337042854,0.999661131819722,Fossil fuels,Coal,
World ,Primary Energy | Gas,EJ/yr,TPED,Natural gas,Primary Energy | Gas,1.0131067961165048,1.0124149077282343,1.0117477721223571,1.0111053892988724,1.0104877592577808,1.009894881999082,1.0093267575227765,1.0087833858288637,1.008264766917344,1.0077709007882172,1.0073017874414834,1.0068574268771426,1.0064378190951948,1.0060429640956396,1.0056728618784776,1.0053275124437087,1.0050069157913326,1.0047110719213492,1.0044399808337592,1.0041936425285622,1.003972057005758,1.0037752242653464,1.0036031443073283,1.003455817131703,1.0033332427384705,1.003235421127631,1.0031623522991846,1.0031140362531312,1.0030904729894707,1.003091662508203,1.0031176048093282,1.0031682998928466,1.003243747758758,1.003343948407062,1.0034689018377594,1.0036186080508493,1.0037930670463326,1.0039922788242086,1.0042162433844775,1.0044649607271396,1.0047384308521945,1.0050366537596425,1.0053596294494833,1.0057073579217173,1.006079839176344,1.0064770732133637,1.0068990600327763,1.0073457996345823,1.007817292018781,1.0083135371853722,1.0088345351343566,1.0093802858657344,1.0099507893795048,1.0105460456756683,1.0111660547542247,1.0118108166151738,1.0124803312585162,1.0131745986842515,1.0138936188923797,1.0146373918829008,Renewables,Onshore wind | Offshore wind | Utility-scale PV | Small-scale PV | Hydro | Geothermal | Biomass,
OECD90 ,Primary Energy | Gas,EJ/yr,TPED,Natural gas,Primary Energy | Gas,1.0131067961165048,1.0124149077282343,1.0117477721223571,1.0111053892988724,1.0104877592577808,1.009894881999082,1.0093267575227765,1.0087833858288637,1.008264766917344,1.0077709007882172,1.0073017874414834,1.0068574268771426,1.0064378190951948,1.0060429640956396,1.0056728618784776,1.0053275124437087,1.0050069157913326,1.0047110719213492,1.0044399808337592,1.0041936425285622,1.003972057005758,1.0037752242653464,1.0036031443073283,1.003455817131703,1.0033332427384705,1.003235421127631,1.0031623522991846,1.0031140362531312,1.0030904729894707,1.003091662508203,1.0031176048093282,1.0031682998928466,1.003243747758758,1.003343948407062,1.0034689018377594,1.0036186080508493,1.0037930670463326,1.0039922788242086,1.0042162433844775,1.0044649607271396,1.0047384308521945,1.0050366537596425,1.0053596294494833,1.0057073579217173,1.006079839176344,1.0064770732133637,1.0068990600327763,1.0073457996345823,1.007817292018781,1.0083135371853722,1.0088345351343566,1.0093802858657344,1.0099507893795048,1.0105460456756683,1.0111660547542247,1.0118108166151738,1.0124803312585162,1.0131745986842515,1.0138936188923797,1.0146373918829008,Renewables,Onshore wind | Offshore wind | Utility-scale PV | Small-scale PV | Hydro | Geothermal | Biomass,
LAM ,Primary Energy | Gas,EJ/yr,TPED,Natural gas,Primary Energy | Gas,1.0131067961165048,1.0124149077282343,1.0117477721223571,1.0111053892988724,1.0104877592577808,1.009894881999082,1.0093267575227765,1.0087833858288637,1.008264766917344,1.0077709007882172,1.0073017874414834,1.0068574268771426,1.0064378190951948,1.0060429640956396,1.0056728618784776,1.0053275124437087,1.0050069157913326,1.0047110719213492,1.0044399808337592,1.0041936425285622,1.003972057005758,1.0037752242653464,1.0036031443073283,1.003455817131703,1.0033332427384705,1.003235421127631,1.0031623522991846,1.0031140362531312,1.0030904729894707,1.003091662508203,1.0031176048093282,1.0031682998928466,1.003243747758758,1.003343948407062,1.0034689018377594,1.0036186080508493,1.0037930670463326,1.0039922788242086,1.0042162433844775,1.0044649607271396,1.0047384308521945,1.0050366537596425,1.0053596294494833,1.0057073579217173,1.006079839176344,1.0064770732133637,1.0068990600327763,1.0073457996345823,1.007817292018781,1.0083135371853722,1.0088345351343566,1.0093802858657344,1.0099507893795048,1.0105460456756683,1.0111660547542247,1.0118108166151738,1.0124803312585162,1.0131745986842515,1.0138936188923797,1.0146373918829008,Renewables,Onshore wind | Offshore wind | Utility-scale PV | Small-scale PV | Hydro | Geothermal | Biomass,
MAF ,Primary Energy | Gas,EJ/yr,TPED,Natural gas,Primary Energy | Gas,1.0131067961165048,1.0124149077282343,1.0117477721223571,1.0111053892988724,1.0104877592577808,1.009894881999082,1.0093267575227765,1.0087833858288637,1.008264766917344,1.0077709007882172,1.0073017874414834,1.0068574268771426,1.0064378190951948,1.0060429640956396,1.0056728618784776,1.0053275124437087,1.0050069157913326,1.0047110719213492,1.0044399808337592,1.0041936425285622,1.003972057005758,1.0037752242653464,1.0036031443073283,1.003455817131703,1.0033332427384705,1.003235421127631,1.0031623522991846,1.0031140362531312,1.0030904729894707,1.003091662508203,1.0031176048093282,1.0031682998928466,1.003243747758758,1.003343948407062,1.0034689018377594,1.0036186080508493,1.0037930670463326,1.0039922788242086,1.0042162433844775,1.0044649607271396,1.0047384308521945,1.0050366537596425,1.0053596294494833,1.0057073579217173,1.006079839176344,1.0064770732133637,1.0068990600327763,1.0073457996345823,1.007817292018781,1.0083135371853722,1.0088345351343566,1.0093802858657344,1.0099507893795048,1.0105460456756683,1.0111660547542247,1.0118108166151738,1.0124803312585162,1.0131745986842515,1.0138936188923797,1.0146373918829008,Renewables,Onshore wind | Offshore wind | Utility-scale PV | Small-scale PV | Hydro | Geothermal | Biomass,
ASIA ,Primary Energy | Gas,EJ/yr,TPED,Natural gas,Primary Energy | Gas,1.0131067961165048,1.0124149077282343,1.0117477721223571,1.0111053892988724,1.0104877592577808,1.009894881999082,1.0093267575227765,1.0087833858288637,1.008264766917344,1.0077709007882172,1.0073017874414834,1.0068574268771426,1.0064378190951948,1.0060429640956396,1.0056728618784776,1.0053275124437087,1.0050069157913326,1.0047110719213492,1.0044399808337592,1.0041936425285622,1.003972057005758,1.0037752242653464,1.0036031443073283,1.003455817131703,1.0033332427384705,1.003235421127631,1.0031623522991846,1.0031140362531312,1.0030904729894707,1.003091662508203,1.0031176048093282,1.0031682998928466,1.003243747758758,1.003343948407062,1.0034689018377594,1.0036186080508493,1.0037930670463326,1.0039922788242086,1.0042162433844775,1.0044649607271396,1.0047384308521945,1.0050366537596425,1.0053596294494833,1.0057073579217173,1.006079839176344,1.0064770732133637,1.0068990600327763,1.0073457996345823,1.007817292018781,1.0083135371853722,1.0088345351343566,1.0093802858657344,1.0099507893795048,1.0105460456756683,1.0111660547542247,1.0118108166151738,1.0124803312585162,1.0131745986842515,1.0138936188923797,1.0146373918829008,Renewables,Onshore wind | Offshore wind | Utility-scale PV | Small-scale PV | Hydro | Geothermal | Biomass,
