Model,Scenario,Region,iso,Country,Subvector,Unit,Initial Extent (Mha),Initial Loss Rate (%),Rate of Improvement,Mitigation (Mg CO2/ha),Duration
PD22,Pathway,SSA-L,ETH,Ethiopia,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,,FLK,Falkland Islands,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,OAS-M,THA,Thailand,Avoided Forest Conversion,Mha,22.3733,-0.2761,0.0002,778.3583,362.1765314
PD22,Pathway,,FRO,Faroe Islands,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,OAS-L,MMR,Myanmar,Avoided Forest Conversion,Mha,45.3080,-0.2655,0.0002,749.0705,376.6376374
PD22,Pathway,MEA-M,LBN,Lebanon,Avoided Forest Conversion,Mha,0.1168,-0.2327,0.0002,496.1817,429.7868671
PD22,Pathway,OAS-L,FJI,Fiji,Avoided Coastal Impacts,Mha,0.0514,-0.2693,0.00196,1751.2236,371.3375424
PD22,Pathway,OAS-L,PHL,Philippines,Avoided Forest Conversion,Mha,20.2294,-0.1965,0.0002,853.9157,508.8939394
PD22,Pathway,EU15,FIN,Finland,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,OAS-M,BRN,Brunei Darussalam,Avoided Forest Conversion,Mha,0.4241,-0.1758,0.0002,1068.7116,568.9556561
PD22,Pathway,SSA-L,SLE,Sierra Leone,Avoided Forest Conversion,Mha,6.5673,-0.1363,0.0002,453.8555,733.4784618
PD22,Pathway,SSA-L,LBR,Liberia,Avoided Forest Conversion,Mha,9.5123,-0.1284,0.0002,625.1877,778.8919897
PD22,Pathway,LAM-L,HND,Honduras,Avoided Forest Conversion,Mha,8.7174,-0.1244,0.0002,864.1105,803.5851146
PD22,Pathway,NAF,DZA,Algeria,Avoided Forest Conversion,Mha,1.8671,-0.1136,0.0002,508.7480,880.0593435
PD22,Pathway,EU15,FRA,France (except French Guiana),Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,LAM-L,GTM,Guatemala,Avoided Forest Conversion,Mha,8.6059,-0.1085,0.0002,509.2660,922.057383
PD22,Pathway,LAM-M,GUF,French Guiana (France),Avoided Coastal Impacts,Mha,0.0434,-1.5564,0.00196,1132.3196,64.24913227
PD22,Pathway,TUR,TUN,Tunisia,Avoided Forest Conversion,Mha,0.3391,-0.1054,0.0002,575.7637,948.6805741
PD22,Pathway,NAF,MAR,Morocco,Avoided Forest Conversion,Mha,1.2762,-0.0984,0.0002,349.1674,1015.997232
PD22,Pathway,OAS-M,PYF,French Polynesia,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,LAM-M,BHS,Bahamas,Avoided Forest Conversion,Mha,0.2850,-0.0834,0.0002,316.0539,1199.31743
PD22,Pathway,OAS-M,LKA,Sri Lanka,Avoided Forest Conversion,Mha,4.4166,-0.0730,0.0002,550.2797,1370.305923
