Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
DOM,8680474.3979838,,,,,,,,,,,,,,,,,,8020916.38171115,,,,,7578851.6951984,,,,,7084491.96282152,,,,,,,,,,5936104.54220218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5936104.54220218
DZA,9732884.68394244,,,,,,,,,,,,,,,,,,12851190.8240783,,,,,13764694.7012121,,,,,14708127.2804642,,,,,,,,,,16647821.8725907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16647821.8725907
ECU,12759884.6117337,,,,,,,,,,,,,,,,,,16478778.3991467,,,,,16854996.5534254,,,,,17037607.2124796,,,,,,,,,,16753557.1558127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16753557.1558127
EGY,26363159.533557,,,,,,,,,,,,,,,,,,27403313.7432369,,,,,27238046.6588887,,,,,27022476.656256,,,,,,,,,,26494864.7459847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26494864.7459847
ESP,29632736.9306827,,,,,,,,,,,,,,,,,,28565948.4772818,,,,,27882996.6918156,,,,,27157036.8893056,,,,,,,,,,25626730.1863439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25626730.1863439
EST,740281.019960932,,,,,,,,,,,,,,,,,,680204.028427659,,,,,660103.86068201,,,,,641056.629747877,,,,,,,,,,606785.627268945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606785.627268945
ETH,59707422.1173028,,,,,,,,,,,,,,,,,,80410528.787393,,,,,92723011.3044705,,,,,103439019.603744,,,,,,,,,,116271837.262889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116271837.262889
FIN,3025396.44472626,,,,,,,,,,,,,,,,,,2894125.17470568,,,,,2834997.8413848,,,,,2782520.83680469,,,,,,,,,,2692148.00719147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2692148.00719147
FRA,48437035.4261214,,,,,,,,,,,,,,,,,,49981019.5426483,,,,,49536883.8780221,,,,,49005148.6254481,,,,,,,,,,47849677.940254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47849677.940254
GAB,189178.61793851,,,,,,,,,,,,,,,,,,306995.447191714,,,,,335192.779760399,,,,,362912.64573882,,,,,,,,,,414195.671329091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414195.671329091
