iso,Subvector,Metric,Model,Scenario,Region,Unit,Value 1,Value 2,Duration 2 (Years),Value 3,Duration 3 (Years),Duration 1 (Years)
ERI,Biochar,Avg mitigation potential flux,PD21,pathway,Eritrea,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
ERI,Biochar,Max extent,PD21,pathway,Eritrea,Tg dm /yr,0.014,NA,NA,NA,NA,100
EST,Biochar,Avg mitigation potential flux,PD21,pathway,Estonia,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
EST,Biochar,Max extent,PD21,pathway,Estonia,Tg dm /yr,0.0955,NA,NA,NA,NA,100
ETH,Biochar,Avg mitigation potential flux,PD21,pathway,Ethiopia,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
ETH,Biochar,Max extent,PD21,pathway,Ethiopia,Tg dm /yr,1.7971,NA,NA,NA,NA,100
FLK,Biochar,Avg mitigation potential flux,PD21,pathway,Falkland Islands,Mt CO2/Tg dm/yr,NA,NA,NA,NA,NA,100
FLK,Biochar,Max extent,PD21,pathway,Falkland Islands,Tg dm /yr,NA,NA,NA,NA,NA,100
FRO,Biochar,Avg mitigation potential flux,PD21,pathway,Faroe Islands,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
FRO,Biochar,Max extent,PD21,pathway,Faroe Islands,Tg dm /yr,0,NA,NA,NA,NA,100
FJI,Biochar,Avg mitigation potential flux,PD21,pathway,Fiji,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
FJI,Biochar,Max extent,PD21,pathway,Fiji,Tg dm /yr,0.0273,NA,NA,NA,NA,100
FIN,Biochar,Avg mitigation potential flux,PD21,pathway,Finland,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
FIN,Biochar,Max extent,PD21,pathway,Finland,Tg dm /yr,0.2369,NA,NA,NA,NA,100
FRA,Biochar,Avg mitigation potential flux,PD21,pathway,France (except French Guiana),Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
FRA,Biochar,Max extent,PD21,pathway,France (except French Guiana),Tg dm /yr,8.5818,NA,NA,NA,NA,100
GUF,Biochar,Avg mitigation potential flux,PD21,pathway,French Guiana (France),Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GUF,Biochar,Max extent,PD21,pathway,French Guiana (France),Tg dm /yr,0.0027,NA,NA,NA,NA,100
PYF,Biochar,Avg mitigation potential flux,PD21,pathway,French Polynesia,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
PYF,Biochar,Max extent,PD21,pathway,French Polynesia,Tg dm /yr,0.0004,NA,NA,NA,NA,100
GAB,Biochar,Avg mitigation potential flux,PD21,pathway,Gabon,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GAB,Biochar,Max extent,PD21,pathway,Gabon,Tg dm /yr,0.0295,NA,NA,NA,NA,100
GMB,Biochar,Avg mitigation potential flux,PD21,pathway,"Gambia, The",Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GMB,Biochar,Max extent,PD21,pathway,"Gambia, The",Tg dm /yr,0.0151,NA,NA,NA,NA,100
GEO,Biochar,Avg mitigation potential flux,PD21,pathway,Georgia,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GEO,Biochar,Max extent,PD21,pathway,Georgia,Tg dm /yr,0.0536,NA,NA,NA,NA,100
DEU,Biochar,Avg mitigation potential flux,PD21,pathway,Germany,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
DEU,Biochar,Max extent,PD21,pathway,Germany,Tg dm /yr,4.7849,NA,NA,NA,NA,100
GHA,Biochar,Avg mitigation potential flux,PD21,pathway,Ghana,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GHA,Biochar,Max extent,PD21,pathway,Ghana,Tg dm /yr,1.6688,NA,NA,NA,NA,100
GRC,Biochar,Avg mitigation potential flux,PD21,pathway,Greece,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
