iso,Subvector,Metric,Model,Scenario,Region,Country,Unit,Value 1,Value 2,Duration 2 (Years),Value 3,Duration 3 (Years),Duration 1 (Years)
GIN,Biochar,Avg mitigation potential flux,PD21,pathway,SSA-L,Guinea,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GIN,Biochar,Max extent,PD21,pathway,SSA-L,Guinea,Tg dm /yr,0.5778,NA,NA,NA,NA,100
GNB,Biochar,Avg mitigation potential flux,PD21,pathway,SSA-L,Guinea-Bissau,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GNB,Biochar,Max extent,PD21,pathway,SSA-L,Guinea-Bissau,Tg dm /yr,0.0329,NA,NA,NA,NA,100
GUY,Biochar,Avg mitigation potential flux,PD21,pathway,LAM-M,Guyana,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GUY,Biochar,Max extent,PD21,pathway,LAM-M,Guyana,Tg dm /yr,0.1781,NA,NA,NA,NA,100
HTI,Biochar,Avg mitigation potential flux,PD21,pathway,LAM-L,Haiti,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
HTI,Biochar,Max extent,PD21,pathway,LAM-L,Haiti,Tg dm /yr,0.1192,NA,NA,NA,NA,100
HND,Biochar,Avg mitigation potential flux,PD21,pathway,LAM-L,Honduras,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
HND,Biochar,Max extent,PD21,pathway,LAM-L,Honduras,Tg dm /yr,0.2635,NA,NA,NA,NA,100
HUN,Biochar,Avg mitigation potential flux,PD21,pathway,EU12-H,Hungary,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
HUN,Biochar,Max extent,PD21,pathway,EU12-H,Hungary,Tg dm /yr,1.8826,NA,NA,NA,NA,100
ISL,Biochar,Avg mitigation potential flux,PD21,pathway,EFTA,Iceland,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
ISL,Biochar,Max extent,PD21,pathway,EFTA,Iceland,Tg dm /yr,0.0007,NA,NA,NA,NA,100
IND,Biochar,Avg mitigation potential flux,PD21,pathway,IND,India,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
IND,Biochar,Max extent,PD21,pathway,IND,India,Tg dm /yr,56.7279,NA,NA,NA,NA,100
IDN,Biochar,Avg mitigation potential flux,PD21,pathway,IDN,Indonesia,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
IDN,Biochar,Max extent,PD21,pathway,IDN,Indonesia,Tg dm /yr,21.6291,NA,NA,NA,NA,100
