iso,Subvector,Metric,Model,Scenario,Region,Country,Unit,Value 1,Duration 1 (Years),Value 2,Duration 2 (Years),Value 3,Duration 3 (Years)
CMR,Optimal Intensity,Max extent,PD22,Pathway,SSA-L,Cameroon,Mha,2.5800,100,NA,NA,NA,NA
AGO,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,SSA-M,Angola,tCO2e/m3/yr,2.6989,30,0,70,NA,NA
IRN,Nitrogen Fertilizer Management,Max extent,PD22,Pathway,MEA-M,Iran,MtCO2e,2.5700,100,NA,NA,NA,NA
ARG,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,LAM-M,Argentina,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
SEN,Biochar,Max extent,PD22,Pathway,SSA-L,Senegal,Mha,2.5488,100,NA,NA,NA,NA
ARM,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,CAS,Armenia,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
COG,Natural Regeneration,Max extent,PD22,Pathway,SSA-L,Republic of Congo (ROC),Mha,2.5461,100,NA,NA,NA,NA
AUS,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,ANUZ,Australia,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
SAU,Cropland Soil Health,Max extent,PD22,Pathway,MEA-H,Saudi Arabia,Mha,2.5234,100,NA,NA,NA,NA
AUT,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,EU15,Austria,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
TJK,Cropland Soil Health,Max extent,PD22,Pathway,CAS,Tajikistan,Mha,2.4985,100,NA,NA,NA,NA
AZE,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,CAS,Azerbaijan,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
LVA,Agroforestry,Max extent,PD22,Pathway,EU12-M,Latvia,Mha,2.4968,100,NA,NA,NA,NA
BHS,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,LAM-M,Bahamas,tCO2e/m3/yr,1.6224,30,0,70,NA,NA
SYR,Biochar,Max extent,PD22,Pathway,MEA-M,Syria,Mha,2.4961,100,NA,NA,NA,NA
BGD,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,OAS-L,Bangladesh,tCO2e/m3/yr,2.6989,30,0,70,NA,NA
LBR,Cropland Soil Health,Max extent,PD22,Pathway,SSA-L,Liberia,Mha,2.4680,100,NA,NA,NA,NA
BLR,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,EEU-FSU,Belarus,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
EGY,Biochar,Max extent,PD22,Pathway,NAF,Egypt,Mha,2.4234,100,NA,NA,NA,NA
BEL,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,EU15,Belgium,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
NLD,Nitrogen Fertilizer Management,Max extent,PD22,Pathway,EU15,Netherlands,MtCO2e,2.4200,100,NA,NA,NA,NA
BLZ,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,LAM-L,Belize,tCO2e/m3/yr,1.6224,30,0,70,NA,NA
PRY,Optimal Intensity,Max extent,PD22,Pathway,LAM-M,Paraguay,Mha,2.3968,100,NA,NA,NA,NA
BEN,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,SSA-L,Benin,tCO2e/m3/yr,1.6224,30,0,70,NA,NA
HRV,Agroforestry,Max extent,PD22,Pathway,EEU,Croatia,Mha,2.3956,100,NA,NA,NA,NA
BTN,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,OAS-M,Bhutan,tCO2e/m3/yr,1.6704,30,0,70,NA,NA
GTM,Agroforestry,Max extent,PD22,Pathway,LAM-L,Guatemala,Mha,2.3881,100,NA,NA,NA,NA
BOL,Improved Forest Mgmt,Avg mitigation potential flux,PD22,Pathway,LAM-M,Bolivia,tCO2e/m3/yr,1.6704,30,0,70,NA,NA
BWA,Cropland Soil Health,Max extent,PD22,Pathway,SSA-M,Botswana,Mha,2.3829,100,NA,NA,NA,NA
