iso,Subvector,Metric,Model,Scenario,Region,Country,Unit,Value 1,Duration 1 (Years),Value 2,Duration 2 (Years),Value 3,Duration 3 (Years)
MKD,Natural Regeneration,Max extent,PD22,Pathway,EEU,Macedonia (The Former Yugoslav Republic of Macedonia),Mha,0.0684,100,NA,NA,NA,NA
CPV,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Cape Verde,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
PAK,Coastal Restoration,Max extent,PD22,Pathway,PAK,Pakistan,Mha,0.0678,100,NA,NA,NA,NA
CAF,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Central African Republic,MtCO2e/percentile improvement,0.0001,100,NA,NA,NA,NA
HUN,Peat Restoration,Max extent,PD22,Pathway,EU12-H,Hungary,Mha,0.0677,100,NA,NA,NA,NA
TCD,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Chad,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
JAM,Optimal Intensity,Max extent,PD22,Pathway,LAM-M,Jamaica,Mha,0.0653,100,NA,NA,NA,NA
CHL,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-M,Chile,MtCO2e/percentile improvement,0.0243,100,NA,NA,NA,NA
KGZ,Natural Regeneration,Max extent,PD22,Pathway,CAS,Kyrgyzstan,Mha,0.0651,100,NA,NA,NA,NA
CHN,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,CHN,China,MtCO2e/percentile improvement,3.0491,100,NA,NA,NA,NA
PRT,Improved Rice,Max extent,PD22,Pathway,EU15,Portugal,Mha,0.0650,100,NA,NA,NA,NA
COL,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-M,Colombia,MtCO2e/percentile improvement,0.0382,100,NA,NA,NA,NA
TGO,Improved Rice,Max extent,PD22,Pathway,SSA-L,Togo,Mha,0.0647,100,NA,NA,NA,NA
COM,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Comoros,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
KHM,Coastal Restoration,Max extent,PD22,Pathway,OAS-CPA,Cambodia,Mha,0.0644,100,NA,NA,NA,NA
CRI,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-M,Costa Rica,MtCO2e/percentile improvement,0.0055,100,NA,NA,NA,NA
CUB,Peat Restoration,Max extent,PD22,Pathway,LAM-M,Cuba,Mha,0.0644,100,NA,NA,NA,NA
CIV,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Cote d'Ivoire,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
SUR,Biochar,Max extent,PD22,Pathway,LAM-M,Suriname,Mha,0.0637,100,NA,NA,NA,NA
HRV,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EEU,Croatia,MtCO2e/percentile improvement,0.0176,100,NA,NA,NA,NA
SUR,Natural Regeneration,Max extent,PD22,Pathway,LAM-M,Suriname,Mha,0.0632,100,NA,NA,NA,NA
CUB,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-M,Cuba,MtCO2e/percentile improvement,0.0036,100,NA,NA,NA,NA
GMB,Coastal Restoration,Max extent,PD22,Pathway,SSA-L,"Gambia, The",Mha,0.0626,100,NA,NA,NA,NA
CYP,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU12-H,Cyprus,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
LUX,Optimal Intensity,Max extent,PD22,Pathway,EU15,Luxembourg,Mha,0.0608,100,NA,NA,NA,NA
CZE,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU12-H,Czech Republic,MtCO2e/percentile improvement,0.0239,100,NA,NA,NA,NA
ZMB,Avoided Peat Impacts,Max extent,PD22,Pathway,SSA-L,Zambia,Mha,0.0607,100,NA,NA,NA,NA
PRK,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,OAS-L,Democratic People's Republic of Korea (North Korea),MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
ISL,Nitrogen Fertilizer Management,Max extent,PD22,Pathway,EFTA,Iceland,MtCO2e,0.0600,100,NA,NA,NA,NA
COD,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Democratic Republic of the Congo (DRC),MtCO2e/percentile improvement,0.0005,100,NA,NA,NA,NA
MNG,Nitrogen Fertilizer Management,Max extent,PD22,Pathway,OAS-CPA,Mongolia,MtCO2e,0.0600,100,NA,NA,NA,NA
DNK,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU15,Denmark (except Greenland),MtCO2e/percentile improvement,0.0210,100,NA,NA,NA,NA
COD,Peat Restoration,Max extent,PD22,Pathway,SSA-L,Democratic Republic of the Congo (DRC),Mha,0.0600,100,NA,NA,NA,NA
DJI,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Djibouti,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
CRI,Improved Rice,Max extent,PD22,Pathway,LAM-M,Costa Rica,Mha,0.0590,100,NA,NA,NA,NA
DOM,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-M,Dominican Republic,MtCO2e/percentile improvement,0.0037,100,NA,NA,NA,NA
JAM,Cropland Soil Health,Max extent,PD22,Pathway,LAM-M,Jamaica,Mha,0.0584,100,NA,NA,NA,NA
ECU,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-M,Ecuador,MtCO2e/percentile improvement,0.0110,100,NA,NA,NA,NA
JOR,Biochar,Max extent,PD22,Pathway,MEA-M,Jordan,Mha,0.0582,100,NA,NA,NA,NA
EGY,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,NAF,Egypt,MtCO2e/percentile improvement,0.0745,100,NA,NA,NA,NA
BLZ,Cropland Soil Health,Max extent,PD22,Pathway,LAM-L,Belize,Mha,0.0578,100,NA,NA,NA,NA
SLV,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-M,El Salvador,MtCO2e/percentile improvement,0.0046,100,NA,NA,NA,NA
KEN,Coastal Restoration,Max extent,PD22,Pathway,SSA-L,Kenya,Mha,0.0569,100,NA,NA,NA,NA
GNQ,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-M,Equatorial Guinea,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
BLZ,Coastal Restoration,Max extent,PD22,Pathway,LAM-L,Belize,Mha,0.0566,100,NA,NA,NA,NA
ERI,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Eritrea,MtCO2e/percentile improvement,0.0002,100,NA,NA,NA,NA
GUF,Coastal Restoration,Max extent,PD22,Pathway,LAM-M,French Guiana (France),Mha,0.0564,100,NA,NA,NA,NA
EST,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU12-H,Estonia,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
NOR,Natural Regeneration,Max extent,PD22,Pathway,EFTA,Norway,Mha,0.0560,100,NA,NA,NA,NA
ETH,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Ethiopia,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
FJI,Coastal Restoration,Max extent,PD22,Pathway,OAS-L,Fiji,Mha,0.0557,100,NA,NA,NA,NA
FLK,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,NA,Falkland Islands,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
UZB,Improved Rice,Max extent,PD22,Pathway,CAS,Uzbekistan,Mha,0.0553,100,NA,NA,NA,NA
FRO,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,NA,Faroe Islands,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
RWA,Peat Restoration,Max extent,PD22,Pathway,SSA-L,Rwanda,Mha,0.0552,100,NA,NA,NA,NA
FJI,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,OAS-L,Fiji,MtCO2e/percentile improvement,0.0006,100,NA,NA,NA,NA
THA,Peat Restoration,Max extent,PD22,Pathway,OAS-M,Thailand,Mha,0.0540,100,NA,NA,NA,NA
FIN,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU15,Finland,MtCO2e/percentile improvement,0.0199,100,NA,NA,NA,NA
IRQ,Improved Rice,Max extent,PD22,Pathway,MEA-M,Iraq,Mha,0.0539,100,NA,NA,NA,NA
FRA,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU15,France (except French Guiana),MtCO2e/percentile improvement,0.2434,100,NA,NA,NA,NA
SLB,Coastal Restoration,Max extent,PD22,Pathway,OAS-L,Solomon Islands,Mha,0.0529,100,NA,NA,NA,NA
GUF,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-M,French Guiana (France),MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
BEN,Improved Rice,Max extent,PD22,Pathway,SSA-L,Benin,Mha,0.0528,100,NA,NA,NA,NA
PYF,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,OAS-M,French Polynesia,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
WSM,Cropland Soil Health,Max extent,PD22,Pathway,OAS-L,Samoa,Mha,0.0527,100,NA,NA,NA,NA
GAB,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-M,Gabon,MtCO2e/percentile improvement,0.0002,100,NA,NA,NA,NA
MUS,Cropland Soil Health,Max extent,PD22,Pathway,SSA-M,Mauritius,Mha,0.0506,100,NA,NA,NA,NA
GMB,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,"Gambia, The",MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
SUR,Improved Rice,Max extent,PD22,Pathway,LAM-M,Suriname,Mha,0.0501,100,NA,NA,NA,NA
GEO,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,CAS,Georgia,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
FJI,Nitrogen Fertilizer Management,Max extent,PD22,Pathway,OAS-L,Fiji,MtCO2e,0.0500,100,NA,NA,NA,NA
DEU,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU15,Germany,MtCO2e/percentile improvement,0.1883,100,NA,NA,NA,NA
OMN,Nitrogen Fertilizer Management,Max extent,PD22,Pathway,MEA-H,Oman,MtCO2e,0.0500,100,NA,NA,NA,NA
GHA,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Ghana,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
QAT,Nitrogen Fertilizer Management,Max extent,PD22,Pathway,MEA-H,Qatar,MtCO2e,0.0500,100,NA,NA,NA,NA
GRC,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU15,Greece,MtCO2e/percentile improvement,0.0218,100,NA,NA,NA,NA
CYP,Natural Regeneration,Max extent,PD22,Pathway,EU12-H,Cyprus,Mha,0.0493,100,NA,NA,NA,NA
GRL,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU15,Greenland (Denmark),MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
MUS,Biochar,Max extent,PD22,Pathway,SSA-M,Mauritius,Mha,0.0490,100,NA,NA,NA,NA
GLP,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-M,Guadeloupe,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
AUT,Natural Regeneration,Max extent,PD22,Pathway,EU15,Austria,Mha,0.0485,100,NA,NA,NA,NA
GTM,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-L,Guatemala,MtCO2e/percentile improvement,0.0100,100,NA,NA,NA,NA
FJI,Biochar,Max extent,PD22,Pathway,OAS-L,Fiji,Mha,0.0472,100,NA,NA,NA,NA
GIN,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Guinea,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
MWI,Improved Rice,Max extent,PD22,Pathway,SSA-L,Malawi,Mha,0.0468,100,NA,NA,NA,NA
GNB,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Guinea-Bissau,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
MDG,Avoided Peat Impacts,Max extent,PD22,Pathway,SSA-L,Madagascar,Mha,0.0440,100,NA,NA,NA,NA
GUY,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-M,Guyana,MtCO2e/percentile improvement,0.0009,100,NA,NA,NA,NA
NCL,Optimal Intensity,Max extent,PD22,Pathway,OAS-M,New Caledonia,Mha,0.0431,100,NA,NA,NA,NA
HTI,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-L,Haiti,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
EST,Avoided Peat Impacts,Max extent,PD22,Pathway,EU12-H,Estonia,Mha,0.0431,100,NA,NA,NA,NA
HND,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-L,Honduras,MtCO2e/percentile improvement,0.0052,100,NA,NA,NA,NA
COL,Peat Restoration,Max extent,PD22,Pathway,LAM-M,Colombia,Mha,0.0427,100,NA,NA,NA,NA
HUN,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU12-H,Hungary,MtCO2e/percentile improvement,0.0322,100,NA,NA,NA,NA
BTN,Biochar,Max extent,PD22,Pathway,OAS-M,Bhutan,Mha,0.0426,100,NA,NA,NA,NA
ISL,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EFTA,Iceland,MtCO2e/percentile improvement,0.0012,100,NA,NA,NA,NA
LUX,Cropland Soil Health,Max extent,PD22,Pathway,EU15,Luxembourg,Mha,0.0415,100,NA,NA,NA,NA
IND,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,IND,India,MtCO2e/percentile improvement,1.4312,100,NA,NA,NA,NA
PRI,Cropland Soil Health,Max extent,PD22,Pathway,USA,Puerto Rico,Mha,0.0413,100,NA,NA,NA,NA
IDN,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,IDN,Indonesia,MtCO2e/percentile improvement,0.1592,100,NA,NA,NA,NA
JAM,Biochar,Max extent,PD22,Pathway,LAM-M,Jamaica,Mha,0.0411,100,NA,NA,NA,NA
IRN,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,MEA-M,Iran,MtCO2e/percentile improvement,0.0549,100,NA,NA,NA,NA
COL,Avoided Peat Impacts,Max extent,PD22,Pathway,LAM-M,Colombia,Mha,0.0410,100,NA,NA,NA,NA
IRQ,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,MEA-M,Iraq,MtCO2e/percentile improvement,0.0084,100,NA,NA,NA,NA
MWI,Natural Regeneration,Max extent,PD22,Pathway,SSA-L,Malawi,Mha,0.0405,100,NA,NA,NA,NA
IRL,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU15,Ireland,MtCO2e/percentile improvement,0.0392,100,NA,NA,NA,NA
MRT,Improved Rice,Max extent,PD22,Pathway,SSA-L,Mauritania,Mha,0.0403,100,NA,NA,NA,NA
ISR,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,MEA-H,Israel,MtCO2e/percentile improvement,0.0027,100,NA,NA,NA,NA
GMB,Improved Rice,Max extent,PD22,Pathway,SSA-L,"Gambia, The",Mha,0.0400,100,NA,NA,NA,NA
ITA,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU15,Italy,MtCO2e/percentile improvement,0.0846,100,NA,NA,NA,NA
GUY,Nitrogen Fertilizer Management,Max extent,PD22,Pathway,LAM-M,Guyana,MtCO2e,0.0400,100,NA,NA,NA,NA
JAM,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-M,Jamaica,MtCO2e/percentile improvement,0.0005,100,NA,NA,NA,NA
JAM,Nitrogen Fertilizer Management,Max extent,PD22,Pathway,LAM-M,Jamaica,MtCO2e,0.0400,100,NA,NA,NA,NA
JPN,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,JPN,Japan,MtCO2e/percentile improvement,0.0251,100,NA,NA,NA,NA
LBN,Nitrogen Fertilizer Management,Max extent,PD22,Pathway,MEA-M,Lebanon,MtCO2e,0.0400,100,NA,NA,NA,NA
JOR,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,MEA-M,Jordan,MtCO2e/percentile improvement,0.0019,100,NA,NA,NA,NA
SUR,Nitrogen Fertilizer Management,Max extent,PD22,Pathway,LAM-M,Suriname,MtCO2e,0.0400,100,NA,NA,NA,NA
KAZ,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,CAS,Kazakhstan,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
GRC,Improved Rice,Max extent,PD22,Pathway,EU15,Greece,Mha,0.0396,100,NA,NA,NA,NA
KEN,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Kenya,MtCO2e/percentile improvement,0.0185,100,NA,NA,NA,NA
GNQ,Biochar,Max extent,PD22,Pathway,SSA-M,Equatorial Guinea,Mha,0.0392,100,NA,NA,NA,NA
KWT,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,MEA-H,Kuwait,MtCO2e/percentile improvement,0.0008,100,NA,NA,NA,NA
CYP,Optimal Intensity,Max extent,PD22,Pathway,EU12-H,Cyprus,Mha,0.0390,100,NA,NA,NA,NA
KGZ,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,CAS,Kyrgyzstan,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
SLV,Coastal Restoration,Max extent,PD22,Pathway,LAM-M,El Salvador,Mha,0.0389,100,NA,NA,NA,NA
LAO,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,OAS-CPA,Laos,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
CRI,Coastal Restoration,Max extent,PD22,Pathway,LAM-M,Costa Rica,Mha,0.0383,100,NA,NA,NA,NA
LVA,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU12-M,Latvia,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
AGO,Coastal Restoration,Max extent,PD22,Pathway,SSA-M,Angola,Mha,0.0382,100,NA,NA,NA,NA
LBN,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,MEA-M,Lebanon,MtCO2e/percentile improvement,0.0008,100,NA,NA,NA,NA
HND,Peat Restoration,Max extent,PD22,Pathway,LAM-L,Honduras,Mha,0.0375,100,NA,NA,NA,NA
LSO,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Lesotho,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
REU,Cropland Soil Health,Max extent,PD22,Pathway,SSA-M,Reunion,Mha,0.0371,100,NA,NA,NA,NA
LBR,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Liberia,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
FRA,Avoided Peat Impacts,Max extent,PD22,Pathway,EU15,France (except French Guiana),Mha,0.0369,100,NA,NA,NA,NA
LBY,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,NAF,Libya,MtCO2e/percentile improvement,0.0030,100,NA,NA,NA,NA
OMN,Optimal Intensity,Max extent,PD22,Pathway,MEA-H,Oman,Mha,0.0363,100,NA,NA,NA,NA
LTU,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU12-M,Lithuania,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
BTN,Cropland Soil Health,Max extent,PD22,Pathway,OAS-M,Bhutan,Mha,0.0357,100,NA,NA,NA,NA
LUX,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU15,Luxembourg,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
BDI,Natural Regeneration,Max extent,PD22,Pathway,SSA-L,Burundi,Mha,0.0349,100,NA,NA,NA,NA
MKD,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EEU,Macedonia (The Former Yugoslav Republic of Macedonia),MtCO2e/percentile improvement,0.0017,100,NA,NA,NA,NA
NER,Improved Rice,Max extent,PD22,Pathway,SSA-L,Niger,Mha,0.0349,100,NA,NA,NA,NA
MDG,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Madagascar,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
CHL,Improved Rice,Max extent,PD22,Pathway,LAM-M,Chile,Mha,0.0346,100,NA,NA,NA,NA
MWI,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Malawi,MtCO2e/percentile improvement,0.0195,100,NA,NA,NA,NA
STP,Biochar,Max extent,PD22,Pathway,SSA-L,Sao Tome and Principe,Mha,0.0342,100,NA,NA,NA,NA
MYS,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,OAS-M,Malaysia,MtCO2e/percentile improvement,0.0428,100,NA,NA,NA,NA
SUR,Optimal Intensity,Max extent,PD22,Pathway,LAM-M,Suriname,Mha,0.0338,100,NA,NA,NA,NA
MLI,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Mali,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
BDI,Improved Rice,Max extent,PD22,Pathway,SSA-L,Burundi,Mha,0.0334,100,NA,NA,NA,NA
MTQ,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-M,Martinique,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
BRN,Natural Regeneration,Max extent,PD22,Pathway,OAS-M,Brunei Darussalam,Mha,0.0334,100,NA,NA,NA,NA
MRT,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Mauritania,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
HUN,Improved Rice,Max extent,PD22,Pathway,EU12-H,Hungary,Mha,0.0330,100,NA,NA,NA,NA
MUS,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-M,Mauritius,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
CPV,Optimal Intensity,Max extent,PD22,Pathway,SSA-L,Cape Verde,Mha,0.0328,100,NA,NA,NA,NA
MEX,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,MEX,Mexico,MtCO2e/percentile improvement,0.0845,100,NA,NA,NA,NA
NCL,Coastal Restoration,Max extent,PD22,Pathway,OAS-M,New Caledonia,Mha,0.0328,100,NA,NA,NA,NA
MDA,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EEU-FSA,Moldova,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
GUY,Coastal Restoration,Max extent,PD22,Pathway,LAM-M,Guyana,Mha,0.0313,100,NA,NA,NA,NA
MNG,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,OAS-CPA,Mongolia,MtCO2e/percentile improvement,0.0006,100,NA,NA,NA,NA
KWT,Cropland Soil Health,Max extent,PD22,Pathway,MEA-H,Kuwait,Mha,0.0311,100,NA,NA,NA,NA
MNE,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EEU,Montenegro,MtCO2e/percentile improvement,0.0002,100,NA,NA,NA,NA
CPV,Biochar,Max extent,PD22,Pathway,SSA-L,Cape Verde,Mha,0.0308,100,NA,NA,NA,NA
MAR,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,NAF,Morocco,MtCO2e/percentile improvement,0.0151,100,NA,NA,NA,NA
AGO,Improved Rice,Max extent,PD22,Pathway,SSA-M,Angola,Mha,0.0304,100,NA,NA,NA,NA
MOZ,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Mozambique,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
BLZ,Nitrogen Fertilizer Management,Max extent,PD22,Pathway,LAM-L,Belize,MtCO2e,0.0300,100,NA,NA,NA,NA
MMR,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,OAS-L,Myanmar,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
KWT,Nitrogen Fertilizer Management,Max extent,PD22,Pathway,MEA-H,Kuwait,MtCO2e,0.0300,100,NA,NA,NA,NA
NAM,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-M,Namibia,MtCO2e/percentile improvement,0.0004,100,NA,NA,NA,NA
SEN,Nitrogen Fertilizer Management,Max extent,PD22,Pathway,SSA-L,Senegal,MtCO2e,0.0300,100,NA,NA,NA,NA
NPL,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,OAS-L,Nepal,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
NGA,Peat Restoration,Max extent,PD22,Pathway,SSA-L,Nigeria,Mha,0.0300,100,NA,NA,NA,NA
NLD,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EU15,Netherlands,MtCO2e/percentile improvement,0.0295,100,NA,NA,NA,NA
LBY,Natural Regeneration,Max extent,PD22,Pathway,NAF,Libya,Mha,0.0294,100,NA,NA,NA,NA
NCL,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,OAS-M,New Caledonia,MtCO2e/percentile improvement,0.0001,100,NA,NA,NA,NA
TTO,Agroforestry,Max extent,PD22,Pathway,LAM-M,Trinidad and Tobago,Mha,0.0293,100,NA,NA,NA,NA
NZL,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,ANUZ,New Zealand,MtCO2e/percentile improvement,0.0307,100,NA,NA,NA,NA
TLS,Improved Rice,Max extent,PD22,Pathway,OAS-L,Timor-Leste,Mha,0.0290,100,NA,NA,NA,NA
NIC,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,LAM-L,Nicaragua,MtCO2e/percentile improvement,0.0032,100,NA,NA,NA,NA
ISR,Natural Regeneration,Max extent,PD22,Pathway,MEA-H,Israel,Mha,0.0285,100,NA,NA,NA,NA
NER,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Niger,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
CYP,Biochar,Max extent,PD22,Pathway,EU12-H,Cyprus,Mha,0.0281,100,NA,NA,NA,NA
NGA,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,SSA-L,Nigeria,MtCO2e/percentile improvement,0.0000,100,NA,NA,NA,NA
GTM,Coastal Restoration,Max extent,PD22,Pathway,LAM-L,Guatemala,Mha,0.0277,100,NA,NA,NA,NA
NOR,Nitrogen Fertilizer Management,Avg mitigation potential flux,PD22,Pathway,EFTA,Norway,MtCO2e/percentile improvement,0.0113,100,NA,NA,NA,NA
LBR,Coastal Restoration,Max extent,PD22,Pathway,SSA-L,Liberia,Mha,0.0273,100,NA,NA,NA,NA
