Country,IEA WEO Grouping,BNEF NEO Grouping,IIASA Grouping
Kazakhstan,EURASIA,,REF | CAS
Kyrgyzstan,EURASIA,,REF | CAS
Tajikistan,EURASIA,,REF | CAS
Turkmenistan,EURASIA,,REF | CAS
Uzbekistan,EURASIA,,REF | CAS
Russian Federation,EURASIA,,REF | RUS
Brunei Darussalam,ASIAPAC | ASEAN,Rest of World,ASIA | OAS-M
Cambodia,ASIAPAC | ASEAN,Rest of World,ASIA | OAS-CPA
Indonesia,ASIAPAC | ASEAN,Asia Pacific|Southeast Asia,ASIA | IDN
Lao People’s Democratic Republic,ASIAPAC | ASEAN,Rest of World,ASIA | OAS-CPA
Malaysia,ASIAPAC | ASEAN,Asia Pacific|Southeast Asia,ASIA | OAS-M
Myanmar,ASIAPAC | ASEAN,Rest of World,ASIA | OAS-L
Philippines,ASIAPAC | ASEAN,Asia Pacific|Southeast Asia,ASIA | OAS-L
Singapore,ASIAPAC | ASEAN,Rest of World,ASIA | OAS-M
Thailand,ASIAPAC | ASEAN,Asia Pacific|Southeast Asia,ASIA | OAS-M
Viet Nam,ASIAPAC | ASEAN,Rest of World,ASIA | OAS-CPA
Australia,ASIAPAC,Asia Pacific,OECD | ANUZ
Bangladesh,ASIAPAC,Rest of World,ASIA | OAS-L
China,ASIAPAC,Asia Pacific,ASIA | CHN
Chinese Taipei,ASIAPAC,Rest of World,
India,ASIAPAC,Asia Pacific,ASIA | IND
Japan,ASIAPAC,Asia Pacific,OECD | JPN
Korea,ASIAPAC,Asia Pacific,ASIA | KOR
Democratic People’s Republic of Korea,ASIAPAC,Rest of World,ASIA | OAS-L
Mongolia,ASIAPAC,Rest of World,ASIA | OAS-CPA
Nepal,ASIAPAC,Rest of World,ASIA | OAS-L
New Zealand,ASIAPAC,Rest of World,OECD | ANUZ
Pakistan,ASIAPAC,Rest of World,ASIA | PAK
Sri Lanka,ASIAPAC,Rest of World,ASIA | OAS-M
Afghanistan,ASIAPAC,Rest of World,ASIA | PAK
Bhutan,ASIAPAC,Rest of World,ASIA | OAS-M
Cook Islands,ASIAPAC,Rest of World,OECD
Fiji,ASIAPAC,Rest of World,ASIA | OAS-L
French Polynesia,ASIAPAC,Rest of World,ASIA | OAS-M
Macau (China),ASIAPAC,Rest of World,ASIA | CHN
Kiribati,ASIAPAC,Rest of World,OECD
Maldives,ASIAPAC,Rest of World,ASIA | OAS-M
New Caledonia,ASIAPAC,Rest of World,ASIA | OAS-M
Palau,ASIAPAC,Rest of World,OECD
Papua New Guinea,ASIAPAC,Rest of World,ASIA | OAS-L
Samoa,ASIAPAC,Rest of World,ASIA | OAS-L
Solomon Islands,ASIAPAC,Rest of World,ASIA | OAS-L
Timor-Leste,ASIAPAC,Rest of World,ASIA | OAS-L
Tonga,ASIAPAC,Rest of World,OECD | OAS-L
Vanuatu,ASIAPAC,Rest of World,OECD | OAS-L
Antilles,,Rest of World,LAM | LAM-M
Puerto Rico,,Rest of World,LAM | USA
Anguilla,,Rest of World,LAM
U.S. Virgin Islands,,Rest of World,LAM | USA
St. Helena,,Rest of World,MAF
Nauru,,Rest of World,OECD
Niue,,Rest of World,OECD
Northern Mariana Islands,,Rest of World,OECD
Micronesia,,Rest of World,OECD | OAS-L
Marshall Islands,,Rest of World,OECD
Pitcarin,,Rest of World,OECD
Tokelau,,Rest of World,OECD
Tuvalu,,Rest of World,OECD
Wallis ans Futuna Island,,Rest of World,OECD
Andorra,,Rest of World,OECD
Vatican,,Rest of World,OECD
Liectenstein,,Rest of World,OECD
Monaco,,Rest of World,OECD
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
