Variable,Unit,Model,Year,Value
CH4 ,Mt CO2e,Baseline,2045,"12,109"
CH4 ,Mt CO2e,Baseline,2046,"12,249"
CH4 ,Mt CO2e,Baseline,2047,"12,388"
CH4 ,Mt CO2e,Baseline,2048,"12,526"
CH4 ,Mt CO2e,Baseline,2049,"12,664"
CH4 ,Mt CO2e,Baseline,2050,"12,800"
CH4 ,Mt CO2e,Baseline,2051,"12,912"
CH4 ,Mt CO2e,Baseline,2052,"13,023"
CH4 ,Mt CO2e,Baseline,2053,"13,134"
CH4 ,Mt CO2e,Baseline,2054,"13,243"
CH4 ,Mt CO2e,Baseline,2055,"13,352"
CH4 ,Mt CO2e,Baseline,2056,"13,460"
CH4 ,Mt CO2e,Baseline,2057,"13,566"
CH4 ,Mt CO2e,Baseline,2058,"13,672"
CH4 ,Mt CO2e,Baseline,2059,"13,777"
CH4 ,Mt CO2e,Baseline,2060,"13,881"
CH4 ,Mt CO2e,Baseline,2061,"13,995"
CH4 ,Mt CO2e,Baseline,2062,"14,108"
CH4 ,Mt CO2e,Baseline,2063,"14,220"
CH4 ,Mt CO2e,Baseline,2064,"14,332"
CH4 ,Mt CO2e,Baseline,2065,"14,442"
CH4 ,Mt CO2e,Baseline,2066,"14,551"
CH4 ,Mt CO2e,Baseline,2067,"14,659"
CH4 ,Mt CO2e,Baseline,2068,"14,766"
CH4 ,Mt CO2e,Baseline,2069,"14,873"
CH4 ,Mt CO2e,Baseline,2070,"14,978"
CH4 ,Mt CO2e,Baseline,2071,"15,076"
CH4 ,Mt CO2e,Baseline,2072,"15,173"
CH4 ,Mt CO2e,Baseline,2073,"15,269"
CH4 ,Mt CO2e,Baseline,2074,"15,364"
CH4 ,Mt CO2e,Baseline,2075,"15,458"
CH4 ,Mt CO2e,Baseline,2076,"15,551"
CH4 ,Mt CO2e,Baseline,2077,"15,643"
CH4 ,Mt CO2e,Baseline,2078,"15,734"
CH4 ,Mt CO2e,Baseline,2079,"15,824"
CH4 ,Mt CO2e,Baseline,2080,"15,913"
CH4 ,Mt CO2e,Baseline,2081,"15,985"
CH4 ,Mt CO2e,Baseline,2082,"16,056"
CH4 ,Mt CO2e,Baseline,2083,"16,125"
CH4 ,Mt CO2e,Baseline,2084,"16,194"
CH4 ,Mt CO2e,Baseline,2085,"16,262"
CH4 ,Mt CO2e,Baseline,2086,"16,329"
CH4 ,Mt CO2e,Baseline,2087,"16,395"
CH4 ,Mt CO2e,Baseline,2088,"16,460"
CH4 ,Mt CO2e,Baseline,2089,"16,524"
CH4 ,Mt CO2e,Baseline,2090,"16,587"
CH4 ,Mt CO2e,Baseline,2091,"16,661"
CH4 ,Mt CO2e,Baseline,2092,"16,734"
CH4 ,Mt CO2e,Baseline,2093,"16,806"
CH4 ,Mt CO2e,Baseline,2094,"16,877"
CH4 ,Mt CO2e,Baseline,2095,"16,948"
CH4 ,Mt CO2e,Baseline,2096,"17,017"
CH4 ,Mt CO2e,Baseline,2097,"17,085"
CH4 ,Mt CO2e,Baseline,2098,"17,153"
CH4 ,Mt CO2e,Baseline,2099,"17,220"
CH4 ,Mt CO2e,Baseline,2100,"17,286"
CH4 ,Mt CO2e,Pathway,2020,"9,436"
CH4 ,Mt CO2e,Pathway,2021,"9,633"
CH4 ,Mt CO2e,Pathway,2022,"9,812"
CH4 ,Mt CO2e,Pathway,2023,"9,971"
CH4 ,Mt CO2e,Pathway,2024,"10,107"
CH4 ,Mt CO2e,Pathway,2025,"10,218"
CH4 ,Mt CO2e,Pathway,2026,"10,318"
CH4 ,Mt CO2e,Pathway,2027,"10,387"
CH4 ,Mt CO2e,Pathway,2028,"10,422"
CH4 ,Mt CO2e,Pathway,2029,"10,423"
CH4 ,Mt CO2e,Pathway,2030,"10,387"
CH4 ,Mt CO2e,Pathway,2031,"10,334"
CH4 ,Mt CO2e,Pathway,2032,"10,244"
CH4 ,Mt CO2e,Pathway,2033,"10,119"
CH4 ,Mt CO2e,Pathway,2034,"9,962"
CH4 ,Mt CO2e,Pathway,2035,"9,776"
CH4 ,Mt CO2e,Pathway,2036,"9,579"
CH4 ,Mt CO2e,Pathway,2037,"9,364"
CH4 ,Mt CO2e,Pathway,2038,"9,133"
CH4 ,Mt CO2e,Pathway,2039,"8,890"
CH4 ,Mt CO2e,Pathway,2040,"8,638"
CH4 ,Mt CO2e,Pathway,2041,"8,432"
CH4 ,Mt CO2e,Pathway,2042,"8,203"
CH4 ,Mt CO2e,Pathway,2043,"7,968"
CH4 ,Mt CO2e,Pathway,2044,"7,723"
CH4 ,Mt CO2e,Pathway,2045,"7,486"
CH4 ,Mt CO2e,Pathway,2046,"7,242"
CH4 ,Mt CO2e,Pathway,2047,"7,000"
CH4 ,Mt CO2e,Pathway,2048,"6,764"
CH4 ,Mt CO2e,Pathway,2049,"6,543"
CH4 ,Mt CO2e,Pathway,2050,"6,348"
CH4 ,Mt CO2e,Pathway,2051,"6,296"
CH4 ,Mt CO2e,Pathway,2052,"6,249"
CH4 ,Mt CO2e,Pathway,2053,"6,206"
CH4 ,Mt CO2e,Pathway,2054,"6,169"
CH4 ,Mt CO2e,Pathway,2055,"6,138"
CH4 ,Mt CO2e,Pathway,2056,"6,112"
CH4 ,Mt CO2e,Pathway,2057,"6,093"
CH4 ,Mt CO2e,Pathway,2058,"6,081"
CH4 ,Mt CO2e,Pathway,2059,"6,074"
CH4 ,Mt CO2e,Pathway,2060,"6,074"
CH4 ,Mt CO2e,Pathway,2061,"6,082"
CH4 ,Mt CO2e,Pathway,2062,"6,094"
CH4 ,Mt CO2e,Pathway,2063,"6,112"
CH4 ,Mt CO2e,Pathway,2064,"6,134"
CH4 ,Mt CO2e,Pathway,2065,"6,160"
CH4 ,Mt CO2e,Pathway,2066,"6,188"
CH4 ,Mt CO2e,Pathway,2067,"6,221"
CH4 ,Mt CO2e,Pathway,2068,"6,255"
CH4 ,Mt CO2e,Pathway,2069,"6,291"
CH4 ,Mt CO2e,Pathway,2070,"6,328"
CH4 ,Mt CO2e,Pathway,2071,"6,360"
CH4 ,Mt CO2e,Pathway,2072,"6,392"
CH4 ,Mt CO2e,Pathway,2073,"6,423"
CH4 ,Mt CO2e,Pathway,2074,"6,454"
CH4 ,Mt CO2e,Pathway,2075,"6,483"
CH4 ,Mt CO2e,Pathway,2076,"6,510"
CH4 ,Mt CO2e,Pathway,2077,"6,536"
CH4 ,Mt CO2e,Pathway,2078,"6,559"
CH4 ,Mt CO2e,Pathway,2079,"6,581"
CH4 ,Mt CO2e,Pathway,2080,"6,599"
CH4 ,Mt CO2e,Pathway,2081,"6,609"
CH4 ,Mt CO2e,Pathway,2082,"6,617"
CH4 ,Mt CO2e,Pathway,2083,"6,622"
CH4 ,Mt CO2e,Pathway,2084,"6,624"
CH4 ,Mt CO2e,Pathway,2085,"6,623"
CH4 ,Mt CO2e,Pathway,2086,"6,620"
CH4 ,Mt CO2e,Pathway,2087,"6,614"
CH4 ,Mt CO2e,Pathway,2088,"6,606"
CH4 ,Mt CO2e,Pathway,2089,"6,596"
CH4 ,Mt CO2e,Pathway,2090,"6,583"
CH4 ,Mt CO2e,Pathway,2091,"6,571"
CH4 ,Mt CO2e,Pathway,2092,"6,557"
CH4 ,Mt CO2e,Pathway,2093,"6,542"
CH4 ,Mt CO2e,Pathway,2094,"6,525"
CH4 ,Mt CO2e,Pathway,2095,"6,508"
CH4 ,Mt CO2e,Pathway,2096,"6,488"
CH4 ,Mt CO2e,Pathway,2097,"6,470"
CH4 ,Mt CO2e,Pathway,2098,"6,452"
CH4 ,Mt CO2e,Pathway,2099,"6,435"
CH4 ,Mt CO2e,Pathway,2100,"6,420"
Cement,Mt CO2e,Baseline,2020,"2,339"
Cement,Mt CO2e,Baseline,2021,"2,366"
Cement,Mt CO2e,Baseline,2022,"2,394"
Cement,Mt CO2e,Baseline,2023,"2,421"
Cement,Mt CO2e,Baseline,2024,"2,449"
Cement,Mt CO2e,Baseline,2025,"2,476"
Cement,Mt CO2e,Baseline,2026,"2,511"
Cement,Mt CO2e,Baseline,2027,"2,545"
Cement,Mt CO2e,Baseline,2028,"2,580"
Cement,Mt CO2e,Baseline,2029,"2,614"
Cement,Mt CO2e,Baseline,2030,"2,649"
Cement,Mt CO2e,Baseline,2031,"2,684"
Cement,Mt CO2e,Baseline,2032,"2,718"
Cement,Mt CO2e,Baseline,2033,"2,753"
Cement,Mt CO2e,Baseline,2034,"2,788"
Cement,Mt CO2e,Baseline,2035,"2,822"
Cement,Mt CO2e,Baseline,2036,"2,856"
Cement,Mt CO2e,Baseline,2037,"2,891"
Cement,Mt CO2e,Baseline,2038,"2,924"
Cement,Mt CO2e,Baseline,2039,"2,958"
Cement,Mt CO2e,Baseline,2040,"2,992"
Cement,Mt CO2e,Baseline,2041,"3,040"
Cement,Mt CO2e,Baseline,2042,"3,088"
Cement,Mt CO2e,Baseline,2043,"3,136"
Cement,Mt CO2e,Baseline,2044,"3,184"
Cement,Mt CO2e,Baseline,2045,"3,231"
Cement,Mt CO2e,Baseline,2046,"3,279"
Cement,Mt CO2e,Baseline,2047,"3,326"
Cement,Mt CO2e,Baseline,2048,"3,372"
Cement,Mt CO2e,Baseline,2049,"3,419"
Cement,Mt CO2e,Baseline,2050,"3,465"
Cement,Mt CO2e,Baseline,2051,"3,502"
Cement,Mt CO2e,Baseline,2052,"3,539"
Cement,Mt CO2e,Baseline,2053,"3,576"
Cement,Mt CO2e,Baseline,2054,"3,612"
Cement,Mt CO2e,Baseline,2055,"3,648"
Cement,Mt CO2e,Baseline,2056,"3,683"
Cement,Mt CO2e,Baseline,2057,"3,719"
Cement,Mt CO2e,Baseline,2058,"3,754"
Cement,Mt CO2e,Baseline,2059,"3,789"
Cement,Mt CO2e,Baseline,2060,"3,823"
Cement,Mt CO2e,Baseline,2061,"3,861"
Cement,Mt CO2e,Baseline,2062,"3,899"
Cement,Mt CO2e,Baseline,2063,"3,937"
Cement,Mt CO2e,Baseline,2064,"3,974"
Cement,Mt CO2e,Baseline,2065,"4,011"
Cement,Mt CO2e,Baseline,2066,"4,048"
Cement,Mt CO2e,Baseline,2067,"4,084"
Cement,Mt CO2e,Baseline,2068,"4,120"
Cement,Mt CO2e,Baseline,2069,"4,156"
Cement,Mt CO2e,Baseline,2070,"4,191"
Cement,Mt CO2e,Baseline,2071,"4,224"
Cement,Mt CO2e,Baseline,2072,"4,256"
Cement,Mt CO2e,Baseline,2073,"4,288"
Cement,Mt CO2e,Baseline,2074,"4,320"
Cement,Mt CO2e,Baseline,2075,"4,352"
Cement,Mt CO2e,Baseline,2076,"4,383"
Cement,Mt CO2e,Baseline,2077,"4,413"
Cement,Mt CO2e,Baseline,2078,"4,444"
Cement,Mt CO2e,Baseline,2079,"4,474"
Cement,Mt CO2e,Baseline,2080,"4,504"
Cement,Mt CO2e,Baseline,2081,"4,527"
Cement,Mt CO2e,Baseline,2082,"4,550"
Cement,Mt CO2e,Baseline,2083,"4,572"
Cement,Mt CO2e,Baseline,2084,"4,595"
Cement,Mt CO2e,Baseline,2085,"4,617"
Cement,Mt CO2e,Baseline,2086,"4,638"
Cement,Mt CO2e,Baseline,2087,"4,660"
Cement,Mt CO2e,Baseline,2088,"4,681"
Cement,Mt CO2e,Baseline,2089,"4,702"
Cement,Mt CO2e,Baseline,2090,"4,722"
Cement,Mt CO2e,Baseline,2091,"4,747"
Cement,Mt CO2e,Baseline,2092,"4,771"
Cement,Mt CO2e,Baseline,2093,"4,795"
Cement,Mt CO2e,Baseline,2094,"4,819"
Cement,Mt CO2e,Baseline,2095,"4,842"
Cement,Mt CO2e,Baseline,2096,"4,865"
Cement,Mt CO2e,Baseline,2097,"4,888"
Cement,Mt CO2e,Baseline,2098,"4,910"
Cement,Mt CO2e,Baseline,2099,"4,933"
Cement,Mt CO2e,Baseline,2100,"4,955"
Cement,Mt CO2e,Pathway,2020,"2,311"
Cement,Mt CO2e,Pathway,2021,"2,331"
Cement,Mt CO2e,Pathway,2022,"2,351"
Cement,Mt CO2e,Pathway,2023,"2,371"
Cement,Mt CO2e,Pathway,2024,"2,391"
Cement,Mt CO2e,Pathway,2025,"2,410"
Cement,Mt CO2e,Pathway,2026,"2,437"
Cement,Mt CO2e,Pathway,2027,"2,463"
Cement,Mt CO2e,Pathway,2028,"2,489"
Cement,Mt CO2e,Pathway,2029,"2,514"
Cement,Mt CO2e,Pathway,2030,"2,539"
Cement,Mt CO2e,Pathway,2031,"2,565"
Cement,Mt CO2e,Pathway,2032,"2,591"
Cement,Mt CO2e,Pathway,2033,"2,616"
Cement,Mt CO2e,Pathway,2034,"2,640"
Cement,Mt CO2e,Pathway,2035,"2,664"
Cement,Mt CO2e,Pathway,2036,"2,688"
Cement,Mt CO2e,Pathway,2037,"2,712"
Cement,Mt CO2e,Pathway,2038,"2,735"
Cement,Mt CO2e,Pathway,2039,"2,758"
Cement,Mt CO2e,Pathway,2040,"2,780"
Cement,Mt CO2e,Pathway,2041,"2,816"
Cement,Mt CO2e,Pathway,2042,"2,852"
Cement,Mt CO2e,Pathway,2043,"2,887"
Cement,Mt CO2e,Pathway,2044,"2,922"
Cement,Mt CO2e,Pathway,2045,"2,956"
Cement,Mt CO2e,Pathway,2046,"2,989"
Cement,Mt CO2e,Pathway,2047,"3,022"
Cement,Mt CO2e,Pathway,2048,"3,055"
Cement,Mt CO2e,Pathway,2049,"3,087"
Cement,Mt CO2e,Pathway,2050,"3,119"
Cement,Mt CO2e,Pathway,2051,"3,142"
Cement,Mt CO2e,Pathway,2052,"3,164"
Cement,Mt CO2e,Pathway,2053,"3,186"
Cement,Mt CO2e,Pathway,2054,"3,208"
Cement,Mt CO2e,Pathway,2055,"3,229"
Cement,Mt CO2e,Pathway,2056,"3,250"
Cement,Mt CO2e,Pathway,2057,"3,270"
Cement,Mt CO2e,Pathway,2058,"3,290"
Cement,Mt CO2e,Pathway,2059,"3,309"
Cement,Mt CO2e,Pathway,2060,"3,328"
Cement,Mt CO2e,Pathway,2061,"3,350"
Cement,Mt CO2e,Pathway,2062,"3,372"
Cement,Mt CO2e,Pathway,2063,"3,393"
Cement,Mt CO2e,Pathway,2064,"3,413"
Cement,Mt CO2e,Pathway,2065,"3,433"
Cement,Mt CO2e,Pathway,2066,"3,453"
Cement,Mt CO2e,Pathway,2067,"3,472"
Cement,Mt CO2e,Pathway,2068,"3,490"
Cement,Mt CO2e,Pathway,2069,"3,508"
Cement,Mt CO2e,Pathway,2070,"3,526"
Cement,Mt CO2e,Pathway,2071,"3,541"
Cement,Mt CO2e,Pathway,2072,"3,555"
Cement,Mt CO2e,Pathway,2073,"3,569"
Cement,Mt CO2e,Pathway,2074,"3,583"
Cement,Mt CO2e,Pathway,2075,"3,596"
Cement,Mt CO2e,Pathway,2076,"3,609"
Cement,Mt CO2e,Pathway,2077,"3,622"
Cement,Mt CO2e,Pathway,2078,"3,633"
Cement,Mt CO2e,Pathway,2079,"3,645"
Cement,Mt CO2e,Pathway,2080,"3,656"
Cement,Mt CO2e,Pathway,2081,"3,662"
Cement,Mt CO2e,Pathway,2082,"3,667"
Cement,Mt CO2e,Pathway,2083,"3,671"
Cement,Mt CO2e,Pathway,2084,"3,676"
Cement,Mt CO2e,Pathway,2085,"3,680"
Cement,Mt CO2e,Pathway,2086,"3,683"
Cement,Mt CO2e,Pathway,2087,"3,687"
Cement,Mt CO2e,Pathway,2088,"3,690"
Cement,Mt CO2e,Pathway,2089,"3,692"
Cement,Mt CO2e,Pathway,2090,"3,694"
Cement,Mt CO2e,Pathway,2091,"3,700"
Cement,Mt CO2e,Pathway,2092,"3,705"
Cement,Mt CO2e,Pathway,2093,"3,709"
Cement,Mt CO2e,Pathway,2094,"3,713"
Cement,Mt CO2e,Pathway,2095,"3,717"
Cement,Mt CO2e,Pathway,2096,"3,720"
Cement,Mt CO2e,Pathway,2097,"3,723"
Cement,Mt CO2e,Pathway,2098,"3,726"
Cement,Mt CO2e,Pathway,2099,"3,728"
Cement,Mt CO2e,Pathway,2100,"3,731"
F-gases,Mt CO2e,Baseline,2020,926
F-gases,Mt CO2e,Baseline,2021,942
F-gases,Mt CO2e,Baseline,2022,958
F-gases,Mt CO2e,Baseline,2023,974
F-gases,Mt CO2e,Baseline,2024,989
F-gases,Mt CO2e,Baseline,2025,"1,005"
F-gases,Mt CO2e,Baseline,2026,"1,021"
F-gases,Mt CO2e,Baseline,2027,"1,037"
F-gases,Mt CO2e,Baseline,2028,"1,052"
F-gases,Mt CO2e,Baseline,2029,"1,068"
F-gases,Mt CO2e,Baseline,2030,"1,084"
F-gases,Mt CO2e,Baseline,2031,"1,100"
F-gases,Mt CO2e,Baseline,2032,"1,116"
F-gases,Mt CO2e,Baseline,2033,"1,132"
F-gases,Mt CO2e,Baseline,2034,"1,148"
F-gases,Mt CO2e,Baseline,2035,"1,165"
F-gases,Mt CO2e,Baseline,2036,"1,181"
F-gases,Mt CO2e,Baseline,2037,"1,197"
F-gases,Mt CO2e,Baseline,2038,"1,213"
F-gases,Mt CO2e,Baseline,2039,"1,229"
F-gases,Mt CO2e,Baseline,2040,"1,245"
F-gases,Mt CO2e,Baseline,2041,"1,262"
F-gases,Mt CO2e,Baseline,2042,"1,280"
F-gases,Mt CO2e,Baseline,2043,"1,297"
F-gases,Mt CO2e,Baseline,2044,"1,314"
F-gases,Mt CO2e,Baseline,2045,"1,331"
F-gases,Mt CO2e,Baseline,2046,"1,349"
F-gases,Mt CO2e,Baseline,2047,"1,366"
F-gases,Mt CO2e,Baseline,2048,"1,383"
F-gases,Mt CO2e,Baseline,2049,"1,400"
F-gases,Mt CO2e,Baseline,2050,"1,418"
F-gases,Mt CO2e,Baseline,2051,"1,430"
F-gases,Mt CO2e,Baseline,2052,"1,442"
F-gases,Mt CO2e,Baseline,2053,"1,454"
F-gases,Mt CO2e,Baseline,2054,"1,466"
F-gases,Mt CO2e,Baseline,2055,"1,479"
F-gases,Mt CO2e,Baseline,2056,"1,491"
F-gases,Mt CO2e,Baseline,2057,"1,503"
F-gases,Mt CO2e,Baseline,2058,"1,515"
F-gases,Mt CO2e,Baseline,2059,"1,527"
F-gases,Mt CO2e,Baseline,2060,"1,540"
F-gases,Mt CO2e,Baseline,2061,"1,564"
F-gases,Mt CO2e,Baseline,2062,"1,588"
F-gases,Mt CO2e,Baseline,2063,"1,612"
F-gases,Mt CO2e,Baseline,2064,"1,636"
F-gases,Mt CO2e,Baseline,2065,"1,660"
F-gases,Mt CO2e,Baseline,2066,"1,684"
F-gases,Mt CO2e,Baseline,2067,"1,708"
F-gases,Mt CO2e,Baseline,2068,"1,732"
F-gases,Mt CO2e,Baseline,2069,"1,756"
F-gases,Mt CO2e,Baseline,2070,"1,780"
F-gases,Mt CO2e,Baseline,2071,"1,800"
F-gases,Mt CO2e,Baseline,2072,"1,819"
F-gases,Mt CO2e,Baseline,2073,"1,838"
F-gases,Mt CO2e,Baseline,2074,"1,857"
F-gases,Mt CO2e,Baseline,2075,"1,876"
F-gases,Mt CO2e,Baseline,2076,"1,895"
F-gases,Mt CO2e,Baseline,2077,"1,915"
F-gases,Mt CO2e,Baseline,2078,"1,934"
F-gases,Mt CO2e,Baseline,2079,"1,953"
F-gases,Mt CO2e,Baseline,2080,"1,972"
F-gases,Mt CO2e,Baseline,2081,"1,990"
F-gases,Mt CO2e,Baseline,2082,"2,007"
F-gases,Mt CO2e,Baseline,2083,"2,024"
F-gases,Mt CO2e,Baseline,2084,"2,042"
F-gases,Mt CO2e,Baseline,2085,"2,059"
F-gases,Mt CO2e,Baseline,2086,"2,077"
F-gases,Mt CO2e,Baseline,2087,"2,094"
F-gases,Mt CO2e,Baseline,2088,"2,111"
F-gases,Mt CO2e,Baseline,2089,"2,129"
F-gases,Mt CO2e,Baseline,2090,"2,146"
F-gases,Mt CO2e,Baseline,2091,"2,162"
F-gases,Mt CO2e,Baseline,2092,"2,177"
F-gases,Mt CO2e,Baseline,2093,"2,192"
F-gases,Mt CO2e,Baseline,2094,"2,208"
F-gases,Mt CO2e,Baseline,2095,"2,223"
F-gases,Mt CO2e,Baseline,2096,"2,238"
F-gases,Mt CO2e,Baseline,2097,"2,254"
