Source,Unit,Year,Value
Coal,Mt CO2/TWh,2027,0.38
Coal,Mt CO2/TWh,2028,0.38
Coal,Mt CO2/TWh,2029,0.38
Coal,Mt CO2/TWh,2030,0.38
Coal,Mt CO2/TWh,2031,0.38
Coal,Mt CO2/TWh,2032,0.38
Coal,Mt CO2/TWh,2033,0.38
Coal,Mt CO2/TWh,2034,0.38
Coal,Mt CO2/TWh,2035,0.38
Coal,Mt CO2/TWh,2036,0.38
Coal,Mt CO2/TWh,2037,0.38
Coal,Mt CO2/TWh,2038,0.38
Coal,Mt CO2/TWh,2039,0.38
Coal,Mt CO2/TWh,2040,0.38
Coal,Mt CO2/TWh,2041,0.38
Coal,Mt CO2/TWh,2042,0.38
Coal,Mt CO2/TWh,2043,0.38
Coal,Mt CO2/TWh,2044,0.38
Coal,Mt CO2/TWh,2045,0.38
Coal,Mt CO2/TWh,2046,0.38
Coal,Mt CO2/TWh,2047,0.38
Coal,Mt CO2/TWh,2048,0.38
Coal,Mt CO2/TWh,2049,0.38
Coal,Mt CO2/TWh,2050,0.38
Coal,Mt CO2/TWh,2051,0.38
Coal,Mt CO2/TWh,2052,0.38
Coal,Mt CO2/TWh,2053,0.38
Coal,Mt CO2/TWh,2054,0.38
Coal,Mt CO2/TWh,2055,0.38
Coal,Mt CO2/TWh,2056,0.38
Coal,Mt CO2/TWh,2057,0.38
Coal,Mt CO2/TWh,2058,0.38
Coal,Mt CO2/TWh,2059,0.38
Coal,Mt CO2/TWh,2060,0.38
Coal,Mt CO2/TWh,2061,0.38
Coal,Mt CO2/TWh,2062,0.38
Coal,Mt CO2/TWh,2063,0.38
Coal,Mt CO2/TWh,2064,0.38
Coal,Mt CO2/TWh,2065,0.38
Coal,Mt CO2/TWh,2066,0.38
Coal,Mt CO2/TWh,2067,0.38
Coal,Mt CO2/TWh,2068,0.38
Coal,Mt CO2/TWh,2069,0.38
Coal,Mt CO2/TWh,2070,0.38
Coal,Mt CO2/TWh,2071,0.38
Coal,Mt CO2/TWh,2072,0.38
Coal,Mt CO2/TWh,2073,0.38
Coal,Mt CO2/TWh,2074,0.38
Coal,Mt CO2/TWh,2075,0.38
Coal,Mt CO2/TWh,2076,0.38
Coal,Mt CO2/TWh,2077,0.38
Coal,Mt CO2/TWh,2078,0.38
Coal,Mt CO2/TWh,2079,0.38
Coal,Mt CO2/TWh,2080,0.38
Coal,Mt CO2/TWh,2081,0.38
Coal,Mt CO2/TWh,2082,0.38
Coal,Mt CO2/TWh,2083,0.38
Coal,Mt CO2/TWh,2084,0.38
Coal,Mt CO2/TWh,2085,0.38
Coal,Mt CO2/TWh,2086,0.38
Coal,Mt CO2/TWh,2087,0.38
Coal,Mt CO2/TWh,2088,0.38
Coal,Mt CO2/TWh,2089,0.38
Coal,Mt CO2/TWh,2090,0.38
Coal,Mt CO2/TWh,2091,0.38
Coal,Mt CO2/TWh,2092,0.38
Coal,Mt CO2/TWh,2093,0.38
Coal,Mt CO2/TWh,2094,0.38
Coal,Mt CO2/TWh,2095,0.38
Coal,Mt CO2/TWh,2096,0.38
Coal,Mt CO2/TWh,2097,0.38
Coal,Mt CO2/TWh,2098,0.38
Coal,Mt CO2/TWh,2099,0.38
Coal,Mt CO2/TWh,2100,0.38
Gas,Mt CO2/TWh,2010,0.2
Gas,Mt CO2/TWh,2011,0.2
Gas,Mt CO2/TWh,20112,0.2
Gas,Mt CO2/TWh,2013,0.2
Gas,Mt CO2/TWh,2014,0.2
Gas,Mt CO2/TWh,2015,0.2
Gas,Mt CO2/TWh,2016,0.2
Gas,Mt CO2/TWh,2017,0.2
Gas,Mt CO2/TWh,2018,0.2
Gas,Mt CO2/TWh,2019,0.2
Gas,Mt CO2/TWh,2020,0.2
Gas,Mt CO2/TWh,2021,0.2
Gas,Mt CO2/TWh,2022,0.2
Gas,Mt CO2/TWh,2023,0.2
Gas,Mt CO2/TWh,2024,0.2
Gas,Mt CO2/TWh,2025,0.2
Gas,Mt CO2/TWh,2026,0.2
Gas,Mt CO2/TWh,2027,0.2
Gas,Mt CO2/TWh,2028,0.2
Gas,Mt CO2/TWh,2029,0.2
Gas,Mt CO2/TWh,2030,0.2
Gas,Mt CO2/TWh,2031,0.2
Gas,Mt CO2/TWh,2032,0.2
Gas,Mt CO2/TWh,2033,0.2
Gas,Mt CO2/TWh,2034,0.2
Gas,Mt CO2/TWh,2035,0.2
Gas,Mt CO2/TWh,2036,0.2
Gas,Mt CO2/TWh,2037,0.2
Gas,Mt CO2/TWh,2038,0.2
Gas,Mt CO2/TWh,2039,0.2
Gas,Mt CO2/TWh,2040,0.2
Gas,Mt CO2/TWh,2041,0.2
Gas,Mt CO2/TWh,2042,0.2
Gas,Mt CO2/TWh,2043,0.2
Gas,Mt CO2/TWh,2044,0.2
Gas,Mt CO2/TWh,2045,0.2
Gas,Mt CO2/TWh,2046,0.2
Gas,Mt CO2/TWh,2047,0.2
Gas,Mt CO2/TWh,2048,0.2
Gas,Mt CO2/TWh,2049,0.2
Gas,Mt CO2/TWh,2050,0.2
Gas,Mt CO2/TWh,2051,0.2
Gas,Mt CO2/TWh,2052,0.2
Gas,Mt CO2/TWh,2053,0.2
Gas,Mt CO2/TWh,2054,0.2
Gas,Mt CO2/TWh,2055,0.2
Gas,Mt CO2/TWh,2056,0.2
Gas,Mt CO2/TWh,2057,0.2
Gas,Mt CO2/TWh,2058,0.2
Gas,Mt CO2/TWh,2059,0.2
Gas,Mt CO2/TWh,2060,0.2
Gas,Mt CO2/TWh,2061,0.2
Gas,Mt CO2/TWh,2062,0.2
Gas,Mt CO2/TWh,2063,0.2
Gas,Mt CO2/TWh,2064,0.2
Gas,Mt CO2/TWh,2065,0.2
Gas,Mt CO2/TWh,2066,0.2
Gas,Mt CO2/TWh,2067,0.2
Gas,Mt CO2/TWh,2068,0.2
Gas,Mt CO2/TWh,2069,0.2
Gas,Mt CO2/TWh,2070,0.2
Gas,Mt CO2/TWh,2071,0.2
Gas,Mt CO2/TWh,2072,0.2
Gas,Mt CO2/TWh,2073,0.2
Gas,Mt CO2/TWh,2074,0.2
Gas,Mt CO2/TWh,2075,0.2
Gas,Mt CO2/TWh,2076,0.2
Gas,Mt CO2/TWh,2077,0.2
Gas,Mt CO2/TWh,2078,0.2
Gas,Mt CO2/TWh,2079,0.2
Gas,Mt CO2/TWh,2080,0.2
Gas,Mt CO2/TWh,2081,0.2
Gas,Mt CO2/TWh,2082,0.2
Gas,Mt CO2/TWh,2083,0.2
Gas,Mt CO2/TWh,2084,0.2
Gas,Mt CO2/TWh,2085,0.2
Gas,Mt CO2/TWh,2086,0.2
Gas,Mt CO2/TWh,2087,0.2
Gas,Mt CO2/TWh,2088,0.2
Gas,Mt CO2/TWh,2089,0.2
Gas,Mt CO2/TWh,2090,0.2
Gas,Mt CO2/TWh,2091,0.2
Gas,Mt CO2/TWh,2092,0.2
Gas,Mt CO2/TWh,2093,0.2
Gas,Mt CO2/TWh,2094,0.2
Gas,Mt CO2/TWh,2095,0.2
Gas,Mt CO2/TWh,2096,0.2
Gas,Mt CO2/TWh,2097,0.2
Gas,Mt CO2/TWh,2098,0.2
Gas,Mt CO2/TWh,2099,0.2
Gas,Mt CO2/TWh,2100,0.2
IEA WEO,Mt CO2/TWh,2010,0.37
IEA WEO,Mt CO2/TWh,2011,0.37
IEA WEO,Mt CO2/TWh,20112,0.37
IEA WEO,Mt CO2/TWh,2013,0.37
IEA WEO,Mt CO2/TWh,2014,0.37
IEA WEO,Mt CO2/TWh,2015,0.37
IEA WEO,Mt CO2/TWh,2016,0.37
IEA WEO,Mt CO2/TWh,2017,0.37
IEA WEO,Mt CO2/TWh,2018,0.37
IEA WEO,Mt CO2/TWh,2019,0.37
IEA WEO,Mt CO2/TWh,2020,0.37
IEA WEO,Mt CO2/TWh,2021,0.37
IEA WEO,Mt CO2/TWh,2022,0.37
IEA WEO,Mt CO2/TWh,2023,0.37
IEA WEO,Mt CO2/TWh,2024,0.37
IEA WEO,Mt CO2/TWh,2025,0.37
IEA WEO,Mt CO2/TWh,2026,0.37
IEA WEO,Mt CO2/TWh,2027,0.37
IEA WEO,Mt CO2/TWh,2028,0.37
IEA WEO,Mt CO2/TWh,2029,0.37
IEA WEO,Mt CO2/TWh,2030,0.37
IEA WEO,Mt CO2/TWh,2031,0.37
IEA WEO,Mt CO2/TWh,2032,0.37
IEA WEO,Mt CO2/TWh,2033,0.37
IEA WEO,Mt CO2/TWh,2034,0.37
IEA WEO,Mt CO2/TWh,2035,0.37
IEA WEO,Mt CO2/TWh,2036,0.37
IEA WEO,Mt CO2/TWh,2037,0.37
IEA WEO,Mt CO2/TWh,2038,0.37
IEA WEO,Mt CO2/TWh,2039,0.37
IEA WEO,Mt CO2/TWh,2040,0.37
IEA WEO,Mt CO2/TWh,2041,0.37
IEA WEO,Mt CO2/TWh,2042,0.37
IEA WEO,Mt CO2/TWh,2043,0.37
IEA WEO,Mt CO2/TWh,2044,0.37
IEA WEO,Mt CO2/TWh,2045,0.37
IEA WEO,Mt CO2/TWh,2046,0.37
IEA WEO,Mt CO2/TWh,2047,0.37
IEA WEO,Mt CO2/TWh,2048,0.37
IEA WEO,Mt CO2/TWh,2049,0.37
IEA WEO,Mt CO2/TWh,2050,0.37
IEA WEO,Mt CO2/TWh,2051,0.37
IEA WEO,Mt CO2/TWh,2052,0.37
IEA WEO,Mt CO2/TWh,2053,0.37
IEA WEO,Mt CO2/TWh,2054,0.37
IEA WEO,Mt CO2/TWh,2055,0.37
IEA WEO,Mt CO2/TWh,2056,0.37
IEA WEO,Mt CO2/TWh,2057,0.37
IEA WEO,Mt CO2/TWh,2058,0.37
IEA WEO,Mt CO2/TWh,2059,0.37
IEA WEO,Mt CO2/TWh,2060,0.37
IEA WEO,Mt CO2/TWh,2061,0.37
IEA WEO,Mt CO2/TWh,2062,0.37
IEA WEO,Mt CO2/TWh,2063,0.37
IEA WEO,Mt CO2/TWh,2064,0.37
IEA WEO,Mt CO2/TWh,2065,0.37
IEA WEO,Mt CO2/TWh,2066,0.37
IEA WEO,Mt CO2/TWh,2067,0.37
IEA WEO,Mt CO2/TWh,2068,0.37
IEA WEO,Mt CO2/TWh,2069,0.37
IEA WEO,Mt CO2/TWh,2070,0.37
IEA WEO,Mt CO2/TWh,2071,0.37
IEA WEO,Mt CO2/TWh,2072,0.37
IEA WEO,Mt CO2/TWh,2073,0.37
IEA WEO,Mt CO2/TWh,2074,0.37
IEA WEO,Mt CO2/TWh,2075,0.37
IEA WEO,Mt CO2/TWh,2076,0.37
IEA WEO,Mt CO2/TWh,2077,0.37
IEA WEO,Mt CO2/TWh,2078,0.37
IEA WEO,Mt CO2/TWh,2079,0.37
IEA WEO,Mt CO2/TWh,2080,0.37
