product_short,flow_short,sector,EIA Product,WWS EF Product,WWS Upstream Product,WWS Addtl Efficiency,Low Temp Heat,High Temp Heat,hydrogen,flexible,nonenergy
ANTCOAL,AUTOCHP,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
BIODIESEL,AUTOCHP,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
BIOGASES,AUTOCHP,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
BITCOAL,AUTOCHP,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
BKB,AUTOCHP,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
BLFURGS,AUTOCHP,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
COALTAR,AUTOCHP,Industrial,Liquid fuels,coal ef ratio,N,coal addtl eff,N,N,N,N,N
COKCOAL,AUTOCHP,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
COKEOVGS,AUTOCHP,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
CRUDEOIL,AUTOCHP,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
ELECTR,AUTOCHP,Industrial,Electricity,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ETHANE,AUTOCHP,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
GASWKSGS,AUTOCHP,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
GEOTHERM,AUTOCHP,Industrial,Renewables,wws heat ef ratio,N,wws heat addtl eff,N,N,N,N,N
HEAT,AUTOCHP,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
HEATNS,AUTOCHP,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
INDWASTE,AUTOCHP,Industrial,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
LIGNITE,AUTOCHP,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
LPG,AUTOCHP,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
MUNWASTEN,AUTOCHP,Industrial,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
MUNWASTER,AUTOCHP,Industrial,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
NATGAS,AUTOCHP,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
NGL,AUTOCHP,Industrial,Liquid fuels,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
NONBIODIES,AUTOCHP,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
NONBIOJETK,AUTOCHP,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
NUCLEAR,AUTOCHP,Industrial,Electricity,nuclear ef ratio,N,electricity addtl eff,N,N,N,N,N
OBIOLIQ,AUTOCHP,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
OGASES,AUTOCHP,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
OILSHALE,AUTOCHP,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
ONONSPEC,AUTOCHP,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
OTHER,AUTOCHP,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
OTHKERO,AUTOCHP,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
OVENCOKE,AUTOCHP,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PATFUEL,AUTOCHP,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PEAT,AUTOCHP,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PEATPROD,AUTOCHP,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PETCOKE,AUTOCHP,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PRIMSBIO,AUTOCHP,Industrial,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
REFINGAS,AUTOCHP,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
RESFUEL,AUTOCHP,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
SUBCOAL,AUTOCHP,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
LHEAT,AUTOCHP,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
HHEAT,AUTOCHP,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
LHEATNS,AUTOCHP,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
