Country,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Azerbaijan,F-gases,MtCO₂e,0.46,0.44,0.42,0.4,0.38,0.36,0.35,0.33,0.31,0.29,0.28,0.26,0.24,0.21,0.18,0.15,0.12,0.1,0.09,0.09,0.08,0.08,0.07,0.02,0.01,0.01,0,0
Bahamas,F-gases,MtCO₂e,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Bahrain,F-gases,MtCO₂e,2.95,2.65,2.34,2.12,1.9,1.68,1.46,1.24,1.15,1.07,0.98,0.9,0.81,0.79,0.78,0.76,0.74,0.73,0.63,0.54,0.44,0.35,0.26,0.21,0.19,0.16,0.14,0.11
Bangladesh,F-gases,MtCO₂e,2.72,2.25,1.79,1.61,1.42,1.24,1.05,0.87,0.79,0.72,0.64,0.56,0.49,0.45,0.41,0.38,0.34,0.3,0.26,0.21,0.17,0.13,0.08,0.07,0.06,0.05,0.04,0.03
Barbados,F-gases,MtCO₂e,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0,0,0,0
Belarus,F-gases,MtCO₂e,0.08,0.08,0.08,0.07,0.06,0.05,0.04,0.02,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0
Belgium,F-gases,MtCO₂e,2.86,3.09,2.99,3.01,2.86,2.86,2.73,2.59,2.46,2.27,2.14,1.92,1.8,1.74,1.65,1.48,1.25,1.16,0.97,0.91,0.75,0.63,0.53,0.53,0.52,0.52,0.27,0.03
Belize,F-gases,MtCO₂e,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0,0,0,0
Benin,F-gases,MtCO₂e,0.91,0.83,0.74,0.67,0.6,0.52,0.45,0.38,0.34,0.31,0.27,0.23,0.19,0.19,0.18,0.17,0.16,0.15,0.13,0.1,0.08,0.06,0.03,0.03,0.02,0.01,0.01,0
Bhutan,F-gases,MtCO₂e,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,F-gases,MtCO₂e,0.32,0.29,0.27,0.25,0.23,0.2,0.18,0.16,0.15,0.13,0.12,0.1,0.09,0.08,0.08,0.07,0.06,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01
Bosnia and Herzegovina,F-gases,MtCO₂e,0.18,0.19,0.19,0.2,0.21,0.21,0.22,0.23,0.23,0.23,0.23,0.24,0.24,0.25,0.26,0.27,0.28,0.28,0.24,0.19,0.15,0.1,0.05,0.03,0.03,0.02,0.01,0
Botswana,F-gases,MtCO₂e,0.17,0.16,0.14,0.13,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Brazil,F-gases,MtCO₂e,9.03,8.63,8.22,8.18,8.13,8.09,8.04,8,7.32,7.14,6.41,5.62,4.85,4.44,4.13,3.71,3.14,3.04,4.3,3.25,3.83,4.15,4.71,4.8,5.01,4.93,4.38,3.87
Brunei,F-gases,MtCO₂e,0.43,0.35,0.28,0.25,0.22,0.19,0.16,0.13,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01
Bulgaria,F-gases,MtCO₂e,1.33,1.43,1.25,1.13,1,0.85,0.78,0.69,0.66,0.64,0.4,0.31,0.21,0.13,0.1,0.07,0.06,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0,0,0,0
Burkina Faso,F-gases,MtCO₂e,1.04,0.94,0.85,0.76,0.68,0.6,0.52,0.43,0.39,0.35,0.31,0.26,0.22,0.21,0.2,0.19,0.18,0.17,0.15,0.12,0.09,0.06,0.04,0.03,0.02,0.02,0.01,0
Burundi,F-gases,MtCO₂e,0.39,0.35,0.31,0.28,0.25,0.22,0.19,0.16,0.14,0.13,0.11,0.1,0.08,0.08,0.07,0.07,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0,0
Cambodia,F-gases,MtCO₂e,0.71,0.59,0.46,0.41,0.35,0.3,0.25,0.19,0.17,0.15,0.14,0.12,0.1,0.09,0.09,0.08,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0,0
Cameroon,F-gases,MtCO₂e,2.52,2.29,2.06,1.86,1.66,1.47,1.27,1.08,0.99,0.9,0.81,0.72,0.63,0.62,0.62,0.62,0.61,0.61,0.56,0.51,0.47,0.42,0.37,0.39,0.42,0.44,0.46,0.49
Canada,F-gases,MtCO₂e,13.33,13.23,12.42,11.52,11.47,11.28,10.59,9.99,9.67,9.32,9.28,9.86,10.33,10.41,10.05,10.01,9.72,10.6,9.89,10.4,9.27,9.02,9.02,9.65,10.05,11.1,12.82,11.7
Cape Verde,F-gases,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,F-gases,MtCO₂e,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0
Chad,F-gases,MtCO₂e,0.64,0.58,0.52,0.47,0.42,0.37,0.32,0.27,0.24,0.21,0.19,0.16,0.14,0.13,0.12,0.12,0.11,0.11,0.09,0.07,0.06,0.04,0.02,0.02,0.01,0.01,0.01,0
Chile,F-gases,MtCO₂e,2.88,2.68,2.47,2.26,2.05,1.85,1.64,1.43,1.31,1.2,1.08,0.97,0.85,0.78,0.72,0.65,0.58,0.52,0.45,0.38,0.31,0.24,0.17,0.16,0.15,0.14,0.13,0.12
China,F-gases,MtCO₂e,259.05,253.74,248.43,236.14,223.84,211.54,197.1,182.65,168.04,153.43,138.82,124.21,109.6,95.21,80.82,66.44,52.05,37.66,32.64,27.62,22.61,17.59,12.57,11.21,9.84,8.48,7.12,5.76
Colombia,F-gases,MtCO₂e,5.78,5.38,4.97,4.58,4.19,3.79,3.4,3.01,2.78,2.56,2.33,2.1,1.87,1.78,1.59,1.4,1.21,1.02,0.75,0.63,0.51,0.39,0.27,0.25,0.24,0.22,0.21,0.19
Comoros,F-gases,MtCO₂e,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,F-gases,MtCO₂e,0.74,0.68,0.62,0.57,0.52,0.46,0.41,0.35,0.32,0.29,0.26,0.23,0.2,0.18,0.17,0.15,0.14,0.13,0.11,0.09,0.07,0.05,0.04,0.03,0.03,0.03,0.03,0.02
Côte d'Ivoire,F-gases,MtCO₂e,3.11,2.82,2.52,2.27,2.02,1.78,1.53,1.28,1.15,1.03,0.9,0.77,0.65,0.62,0.6,0.57,0.54,0.52,0.43,0.35,0.27,0.19,0.11,0.09,0.07,0.04,0.02,0
Croatia,F-gases,MtCO₂e,0.4,0.43,0.43,0.42,0.42,0.41,0.41,0.39,0.35,0.35,0.34,0.31,0.28,0.52,0.76,1,1.24,1.49,2.05,2.61,3.17,3.73,4.29,3.43,2.57,1.71,0.86,1.24
Cuba,F-gases,MtCO₂e,0.54,0.5,0.45,0.42,0.39,0.35,0.32,0.29,0.26,0.24,0.22,0.2,0.18,0.16,0.15,0.14,0.13,0.11,0.1,0.09,0.07,0.06,0.05,0.05,0.06,0.07,0.08,0.08
Cyprus,F-gases,MtCO₂e,0.28,0.3,0.3,0.29,0.28,0.27,0.25,0.23,0.2,0.18,0.15,0.13,0.09,0.08,0.06,0.05,0.04,0.03,0.02,0.01,0.01,0,0,0,0,0,0,0
Czech Republic,F-gases,MtCO₂e,2.98,3.2,3,2.78,2.59,2.47,2.33,2.13,1.87,1.79,1.53,1.16,0.89,0.8,0.73,0.63,0.53,0.42,0.34,0.31,0.26,0.18,0.13,0.12,0.11,0.1,0.09,0.09
Democratic Republic of the Congo,F-gases,MtCO₂e,1.92,1.74,1.56,1.41,1.26,1.11,0.96,0.81,0.73,0.66,0.58,0.5,0.42,0.4,0.38,0.36,0.35,0.33,0.28,0.23,0.18,0.13,0.08,0.07,0.06,0.05,0.04,0.03
Denmark,F-gases,MtCO₂e,0.66,0.71,0.72,0.78,0.85,0.87,0.94,1,1,1.05,1.04,1.01,0.99,0.93,0.86,0.82,0.78,0.74,0.62,0.5,0.4,0.39,0.28,0.19,0.14,0.04,0.03,0.03
Djibouti,F-gases,MtCO₂e,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0
Dominica,F-gases,MtCO₂e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,F-gases,MtCO₂e,1.24,1.15,1.05,0.95,0.86,0.77,0.67,0.58,0.53,0.48,0.43,0.38,0.33,0.3,0.28,0.25,0.23,0.2,0.17,0.14,0.11,0.08,0.05,0.04,0.04,0.03,0.02,0.02
Ecuador,F-gases,MtCO₂e,0.79,0.73,0.67,0.62,0.57,0.51,0.46,0.41,0.37,0.33,0.29,0.26,0.22,0.2,0.19,0.17,0.15,0.13,0.12,0.1,0.08,0.06,0.04,0.04,0.04,0.04,0.03,0.03
Egypt,F-gases,MtCO₂e,3.58,3.38,3.19,3.11,3.03,2.94,2.86,2.77,2.62,2.46,2.3,2.14,1.98,1.91,1.85,1.78,1.71,1.64,1.68,1.72,1.75,1.79,1.82,1.96,2.11,2.25,2.39,2.53
El Salvador,F-gases,MtCO₂e,0.33,0.3,0.28,0.25,0.23,0.21,0.19,0.16,0.15,0.13,0.12,0.11,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01
Equatorial Guinea,F-gases,MtCO₂e,0.3,0.27,0.24,0.22,0.19,0.17,0.15,0.12,0.11,0.1,0.09,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0,0,0
Eritrea,F-gases,MtCO₂e,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0
Estonia,F-gases,MtCO₂e,0.22,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.16,0.15,0.17,0.16,0.14,0.12,0.11,0.1,0.1,0.08,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0
Eswatini,F-gases,MtCO₂e,0.08,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
Ethiopia,F-gases,MtCO₂e,0.62,0.57,0.51,0.46,0.41,0.37,0.32,0.27,0.24,0.22,0.19,0.17,0.14,0.13,0.13,0.12,0.11,0.1,0.09,0.07,0.06,0.04,0.03,0.02,0.02,0.01,0.01,0.01
European Union (27),F-gases,MtCO₂e,92.05,98.91,98.3,102.71,99.95,97.36,95.16,91.76,87.21,88.33,84.82,78.61,72,68.01,64.75,62.52,57.52,60.24,60.01,60.96,57.35,53.36,48.13,44.19,41.02,37.3,37.26,39.69
Fiji,F-gases,MtCO₂e,0.08,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0
Finland,F-gases,MtCO₂e,1.33,1.43,1.45,1.47,1.47,1.46,1.42,1.41,1.39,1.35,1.23,1.17,1.1,1.01,0.92,0.85,0.77,0.71,0.55,0.45,0.35,0.25,0.17,0.09,0.02,0.02,0.04,0.05
France,F-gases,MtCO₂e,18.42,19.83,19.66,19.45,19.59,19.64,19.32,18.23,17.16,17.3,16.78,16.07,15.31,15.01,14.58,13.81,11.24,10.72,10.7,9.08,8.12,7.18,5.9,6.36,7.82,8.01,7.9,7.62
Gabon,F-gases,MtCO₂e,1.19,1.08,0.97,0.87,0.78,0.68,0.59,0.49,0.45,0.4,0.35,0.3,0.26,0.24,0.23,0.22,0.21,0.2,0.17,0.14,0.11,0.08,0.04,0.04,0.03,0.02,0.01,0.01
Gambia,F-gases,MtCO₂e,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.22,0.41,0.61,0.8,1,0.8,0.6,0.4,0.2,0,0,0,0,0,0
Georgia,F-gases,MtCO₂e,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.13,0.11,0.1,0.1,0.09,0.08,0.07,0.07,0.06,0.05,0.04,0.04,0.03,0.01,0.01,0,0,0
Germany,F-gases,MtCO₂e,11.09,11.9,12.1,11.99,11.87,11.89,11.82,11.47,11.19,11.08,11.4,11.33,11.27,11.18,10.62,10.41,9.77,8.4,8.37,8.85,8.31,8.26,7.82,8.02,8.41,6.57,6.8,7.44
Ghana,F-gases,MtCO₂e,1.14,1.04,0.93,0.84,0.76,0.67,0.58,0.49,0.44,0.4,0.35,0.31,0.27,0.27,0.28,0.29,0.28,0.27,0.3,0.27,0.6,0.5,0.47,0.54,0.66,0.66,0.59,0.58
Greece,F-gases,MtCO₂e,5.79,6.24,6.02,5.88,5.78,5.16,4.74,4.46,4.56,4.88,4.95,4.96,5.14,4.99,4.8,5.16,4.85,5.37,6.82,5.92,5.29,4.88,4.22,2.79,2.15,1.34,1.59,1.38
Grenada,F-gases,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,F-gases,MtCO₂e,0.41,0.38,0.35,0.32,0.29,0.26,0.24,0.21,0.19,0.17,0.16,0.14,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02
Guinea,F-gases,MtCO₂e,1.23,1.11,1,0.9,0.8,0.7,0.6,0.51,0.46,0.41,0.36,0.31,0.26,0.25,0.24,0.23,0.22,0.2,0.17,0.14,0.11,0.08,0.04,0.04,0.03,0.02,0.01,0
Guinea-Bissau,F-gases,MtCO₂e,0.15,0.13,0.12,0.11,0.1,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0,0,0
Guyana,F-gases,MtCO₂e,0.08,0.07,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0
Haiti,F-gases,MtCO₂e,0.25,0.22,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.12,0.1,0.09,0.07,0.06,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0,0,0
Honduras,F-gases,MtCO₂e,1.17,1.08,0.99,0.9,0.8,0.71,0.62,0.53,0.48,0.43,0.37,0.32,0.27,0.26,0.24,0.22,0.2,0.19,0.16,0.13,0.1,0.07,0.04,0.03,0.03,0.02,0.02,0.01
Hungary,F-gases,MtCO₂e,1.74,1.86,2.48,2.22,1.46,1.36,1.5,1.39,1.28,1.4,1.31,1.24,1.15,1.04,0.86,0.72,0.64,0.57,0.61,0.43,0.32,0.3,0.3,0.28,0.25,0.23,0.36,0.39
Iceland,F-gases,MtCO₂e,0.29,0.29,0.31,0.28,0.27,0.27,0.22,0.32,0.3,0.5,0.41,0.46,0.1,0.11,0.13,0.13,0.16,0.19,0.25,0.26,0.13,0.05,0.08,0.06,0.09,0.18,0.41,0.5
India,F-gases,MtCO₂e,18.57,16.99,15.4,14.62,13.84,13.06,12.28,11.5,10.89,10.28,9.67,9.06,8.45,8.27,8.1,7.92,7.75,7.57,6.73,5.89,5.04,4.2,3.36,3.02,2.67,2.33,1.98,1.64
Indonesia,F-gases,MtCO₂e,3.06,2.84,2.63,2.58,2.53,2.49,2.44,2.39,2.19,1.99,1.79,1.59,1.39,1.24,1.08,0.93,0.78,0.63,0.62,0.6,0.59,0.58,0.57,0.59,0.62,0.64,0.67,0.69
Iran,F-gases,MtCO₂e,10.71,9.71,8.7,7.97,7.23,6.5,5.76,5.02,4.72,4.41,4.1,3.8,3.49,3.4,3.31,3.21,3.12,3.03,2.91,2.8,2.68,2.57,2.45,2.31,2.17,2.03,1.89,1.75
Iraq,F-gases,MtCO₂e,4.86,4.34,3.82,3.44,3.06,2.68,2.3,1.92,1.74,1.55,1.37,1.18,1,0.95,0.9,0.85,0.81,0.76,0.65,0.55,0.45,0.34,0.24,0.22,0.2,0.17,0.15,0.13
Ireland,F-gases,MtCO₂e,1.18,1.26,1.14,1.18,1.12,0.99,1.02,1.02,1.05,1.06,1.17,1.17,1.01,0.99,1.11,0.97,1.04,0.94,0.68,0.53,0.57,0.39,0.27,0.12,0.09,0.06,0.04,0.03
Israel,F-gases,MtCO₂e,10.81,10.18,9.54,9.36,9.17,8.98,8.79,8.61,7.99,7.38,6.76,6.15,5.53,5.28,5.03,4.77,4.52,4.27,3.57,2.86,2.16,1.45,0.75,0.64,0.53,0.42,0.32,0.21
Italy,F-gases,MtCO₂e,14.28,15.38,15.21,14.81,14.15,13.51,12.93,12.01,11.31,10.51,9.73,8.78,7.93,6.93,6.03,5.29,4.48,3.48,2.81,2.3,1.86,1.49,1.78,1.5,1.58,1.73,2.44,2.84
Jamaica,F-gases,MtCO₂e,0.29,0.27,0.25,0.23,0.2,0.18,0.16,0.14,0.13,0.12,0.12,0.11,0.1,0.09,0.08,0.08,0.07,0.06,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01
Japan,F-gases,MtCO₂e,44.14,46.79,43.46,39.79,35.86,33.22,30.04,27.64,24.9,25.16,24.31,22.95,20.76,21.65,25.25,25.59,29.12,35.14,37.88,40.12,41.44,41.26,40.12,33.93,31.12,30.23,29,26.3
Jordan,F-gases,MtCO₂e,3.21,2.86,2.51,2.25,2,1.74,1.49,1.23,1.12,1,0.88,0.76,0.64,0.61,0.57,0.54,0.51,0.47,0.4,0.33,0.26,0.19,0.12,0.1,0.08,0.06,0.04,0.02
Kazakhstan,F-gases,MtCO₂e,1.35,1.28,1.26,1.2,1.31,1.3,1.31,1.23,0.91,0.85,0.59,0.45,0.26,0.26,0.19,0.18,0.22,0.18,0.02,0.05,0,0,0,0,0,0,0,0
Kenya,F-gases,MtCO₂e,1.7,1.54,1.38,1.25,1.12,0.99,0.85,0.72,0.65,0.58,0.51,0.45,0.38,0.36,0.34,0.32,0.3,0.29,0.24,0.2,0.16,0.11,0.07,0.06,0.05,0.04,0.03,0.02
Kiribati,F-gases,MtCO₂e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,F-gases,MtCO₂e,15.04,13.38,11.73,10.53,9.33,8.13,6.94,5.74,5.19,4.64,4.09,3.54,2.99,2.83,2.68,2.52,2.36,2.21,1.87,1.54,1.21,0.87,0.54,0.45,0.37,0.29,0.21,0.12
Kyrgyzstan,F-gases,MtCO₂e,0.16,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.15,0.13,0.12,0.1,0.1,0.1,0.09,0.09,0.08,0.07,0.06,0.06,0.05,0.04,0.01,0.01,0,0,0
Laos,F-gases,MtCO₂e,0.11,0.09,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0
Latvia,F-gases,MtCO₂e,0.25,0.27,0.25,0.23,0.22,0.2,0.2,0.19,0.18,0.17,0.14,0.11,0.08,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Lebanon,F-gases,MtCO₂e,2.39,2.13,1.88,1.69,1.5,1.31,1.12,0.94,0.85,0.76,0.67,0.58,0.5,0.47,0.44,0.42,0.39,0.36,0.31,0.25,0.2,0.14,0.09,0.07,0.06,0.05,0.03,0.02
Lesotho,F-gases,MtCO₂e,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0,0,0
Liberia,F-gases,MtCO₂e,0.27,0.24,0.22,0.2,0.17,0.15,0.13,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0,0
Libya,F-gases,MtCO₂e,3.98,3.61,3.25,2.94,2.63,2.32,2.01,1.7,1.54,1.39,1.23,1.08,0.93,0.88,0.82,0.77,0.72,0.67,0.58,0.48,0.38,0.28,0.19,0.17,0.15,0.13,0.11,0.09
Liechtenstein,F-gases,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0
Lithuania,F-gases,MtCO₂e,0.61,0.66,0.53,0.46,0.41,0.35,0.31,0.26,0.22,0.2,0.16,0.12,0.09,0.07,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0,0,0,0,0
Luxembourg,F-gases,MtCO₂e,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0,0
Macedonia,F-gases,MtCO₂e,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.35,0.71,1.06,1.41,1.76
Madagascar,F-gases,MtCO₂e,0.88,0.8,0.72,0.65,0.58,0.51,0.44,0.37,0.33,0.3,0.26,0.22,0.19,0.18,0.17,0.16,0.16,0.15,0.12,0.1,0.08,0.06,0.03,0.03,0.02,0.02,0.01,0
Malawi,F-gases,MtCO₂e,0.7,0.64,0.57,0.52,0.46,0.4,0.35,0.29,0.27,0.24,0.21,0.18,0.15,0.15,0.14,0.13,0.12,0.12,0.1,0.08,0.06,0.05,0.03,0.02,0.02,0.01,0.01,0
Malaysia,F-gases,MtCO₂e,8.76,8.18,7.6,7.16,6.73,6.29,5.86,5.42,4.86,4.3,3.73,3.17,2.61,2.28,1.96,1.64,1.31,0.99,0.85,0.71,0.57,0.42,0.28,0.26,0.23,0.21,0.19,0.16
Maldives,F-gases,MtCO₂e,0.26,0.21,0.17,0.15,0.13,0.11,0.09,0.07,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0,0,0,0,0
Mali,F-gases,MtCO₂e,0.92,0.84,0.75,0.68,0.6,0.53,0.46,0.38,0.35,0.31,0.27,0.23,0.2,0.19,0.18,0.17,0.16,0.15,0.13,0.1,0.08,0.06,0.03,0.03,0.02,0.01,0.01,0
Malta,F-gases,MtCO₂e,0.24,0.26,0.25,0.23,0.22,0.2,0.17,0.15,0.13,0.11,0.1,0.08,0.04,0.03,0.02,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0
Marshall Islands,F-gases,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,F-gases,MtCO₂e,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,F-gases,MtCO₂e,0.41,0.37,0.33,0.3,0.27,0.24,0.21,0.18,0.16,0.14,0.13,0.11,0.09,0.09,0.08,0.08,0.08,0.16,0.06,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0
Mexico,F-gases,MtCO₂e,20.12,19.35,18.59,17.98,17.38,16.29,16.26,15.26,14.14,13.4,12.29,10.64,8.34,7.6,6.5,6.1,5.21,5.32,5.32,4.28,4.17,3.62,1.84,1.74,1.99,1.7,1.97,1.87
