Country,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Madagascar,Forests & Wetlands,CO2,MtCO₂e,23.34,23.34,22.83,24.49,26.45,22.26,25.05,37.38,38.65,33.8,36.14,34.76,27.25,26.58,25.16,24.28,28.98,39.88,40.89,41.35,40.58,41.16,41.85,41.85,41.85,41.85,41.85,41.85
Cambodia,Forests & Wetlands,CO2,MtCO₂e,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,30.8,30.8,30.8,30.8,30.8,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4
Brazil,Forests & Wetlands,CH4,MtCO₂e,20.14,20.14,24.43,10.85,4.96,13.06,6.58,25.86,6.98,9.13,26.11,11.83,26.45,22.17,21.5,22.37,8.74,2.22,14.8,19.52,10.97,8.98,16.32,16.32,16.32,16.32,16.32,16.32
United States,Forests & Wetlands,CH4,MtCO₂e,20.07,20.07,31.42,29.84,25.3,30.68,42.16,29.3,30.47,25.18,62.61,32.79,32.14,40.7,26.08,32.49,21.56,14.46,19.92,14.4,11.77,16.08,32.05,32.05,32.05,32.05,32.05,32.05
Bangladesh,Forests & Wetlands,CO2,MtCO₂e,19.43,19.43,19.93,19.66,19.55,19.47,20.48,13.01,11.51,12.42,11.86,12,21.94,22.98,22.15,22.11,22.15,23.16,23.28,23.26,23.17,23.2,23.57,23.57,23.57,23.57,23.57,23.57
Mongolia,Forests & Wetlands,CO2,MtCO₂e,19.37,19.37,22.01,19.33,19.68,20.1,20,19.16,19.72,23.6,24.17,24.82,18.66,19.21,18.4,21.34,19.21,22.85,20.72,20.84,24.83,21.16,21.21,21.21,21.21,21.21,21.21,21.21
Ethiopia,Forests & Wetlands,CO2,MtCO₂e,17.84,17.84,13.42,13.18,22.19,18.86,12.61,28.83,29.19,30.44,24.09,32.13,26.8,34.16,34.81,36.44,29.54,23.64,26.55,27.09,24.39,26.06,30.92,30.92,30.92,30.83,30.83,30.83
Russia,Forests & Wetlands,N2O,MtCO₂e,16.6,16.6,11.31,21.94,11.58,28.03,15.78,11.54,10.08,26.25,7.62,11.56,7.57,8.09,26.08,18.45,7.2,5.87,5.18,8.4,3.87,10.43,14.98,14.98,14.98,14.98,15.01,15.01
Laos,Forests & Wetlands,CO2,MtCO₂e,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44
Democratic Republic of the Congo,Forests & Wetlands,CH4,MtCO₂e,15.43,15.43,11.54,11.5,14.6,11.88,12.14,10.18,10.91,10.44,11.07,9.01,12.45,11.15,9.4,6.64,7.54,18.04,20.48,24.89,24.19,19.3,10.99,10.99,10.99,10.99,10.99,10.99
Guinea,Forests & Wetlands,CO2,MtCO₂e,15.39,15.39,14.53,15.33,14.95,14.51,15.57,15.1,15.44,14.5,16.97,16.27,16,16.73,15.69,14.15,13.91,13.91,14.01,13.84,13.79,13.94,15.34,15.34,15.34,15.34,15.34,15.34
Canada,Forests & Wetlands,CH4,MtCO₂e,15.09,15.09,37.47,23.81,34.72,20.47,13.51,22.76,4.04,13.75,12.48,18.42,12.3,12.85,21.59,22.91,2.68,5.42,13.67,31.82,5.97,11.25,18.05,18.05,18.05,18.05,18.05,18.05
Indonesia,Forests & Wetlands,CH4,MtCO₂e,14.96,14.96,154.48,142.19,47.49,56.71,52.93,6.37,109.34,8.49,11.44,169.73,60.61,133.78,41.12,138.35,9.45,8.18,27.05,71.31,262.13,17.73,72.34,72.34,72.34,72.34,72.34,72.34
North Korea,Forests & Wetlands,CO2,MtCO₂e,14.01,14.01,14.01,14.04,14.01,14.01,14.08,14,14.03,14.11,14,14.01,11.8,12,11.8,11.8,11.81,12.17,12.17,12.17,12.17,12.17,12.19,12.19,12.19,12.19,12.19,12.19
Central African Republic,Forests & Wetlands,CO2,MtCO₂e,13.79,13.79,13.27,13.26,13.25,13.26,13.25,13.25,13.25,13.31,13.25,13.25,13.98,13.99,13.98,13.98,13.98,13.99,13.98,13.98,13.98,13.98,14.02,14.02,14.02,14.02,14.02,14.02
