IEA Region,Technology,Scenario,Sector,Metric,Value
 OECD ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
NAM ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
NAM ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
US ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
US ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
EUR ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
EUR ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
EU ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
EU ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
SAFR ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
SAFR ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
JPN ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
JPN ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
AdvancedECO ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
AdvancedECO ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
NonOECD ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
NonOECD ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
World ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
World ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
CSAM ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
CSAM ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
BRAZIL ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
BRAZIL ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
AFRICA ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
AFRICA ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
ME ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
ME ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
EURASIA ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
EURASIA ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
RUS ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
RUS ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
ASIAPAC ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
ASIAPAC ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
CHINA ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
CHINA ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
INDIA ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
INDIA ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
ASEAN ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
ASEAN ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
DevelopingECO ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
DevelopingECO ,Animal Mgmt,baseline,AFOLU,"Parameter b, max",100
 OECD ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
 OECD ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
NAM ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
NAM ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
US ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
US ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
EUR ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
EUR ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
EU ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
EU ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
SAFR ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
SAFR ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
JPN ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
JPN ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
AdvancedECO ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
AdvancedECO ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
NonOECD ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
NonOECD ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
World ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
World ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
CSAM ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
CSAM ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
BRAZIL ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
BRAZIL ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
AFRICA ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
AFRICA ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
ME ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
ME ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
EURASIA ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
EURASIA ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
RUS ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
RUS ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
ASIAPAC ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
ASIAPAC ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
CHINA ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
CHINA ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
INDIA ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
INDIA ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
ASEAN ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
ASEAN ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
DevelopingECO ,Animal Mgmt,pathway,AFOLU,"Parameter b, min",40
DevelopingECO ,Animal Mgmt,baseline,AFOLU,"Parameter b, min",0
 OECD ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
 OECD ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
NAM ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
NAM ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
US ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
US ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
EUR ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
EUR ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
EU ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
EU ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
SAFR ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
SAFR ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
JPN ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
JPN ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
AdvancedECO ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
AdvancedECO ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
NonOECD ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
NonOECD ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
World ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
World ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
CSAM ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
CSAM ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
BRAZIL ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
BRAZIL ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
AFRICA ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
AFRICA ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
ME ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
ME ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
EURASIA ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
EURASIA ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
RUS ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
RUS ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
ASIAPAC ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
ASIAPAC ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
CHINA ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
CHINA ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
INDIA ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
INDIA ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
ASEAN ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
ASEAN ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
DevelopingECO ,Animal Mgmt,pathway,AFOLU,Saturation Point,100
DevelopingECO ,Animal Mgmt,baseline,AFOLU,Saturation Point,100
 OECD ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
 OECD ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
NAM ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
NAM ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
US ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
US ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
EUR ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
EUR ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
EU ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
EU ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
SAFR ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
SAFR ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
JPN ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
JPN ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
AdvancedECO ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
AdvancedECO ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
NonOECD ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
NonOECD ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
World ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
World ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
CSAM ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
CSAM ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
BRAZIL ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
BRAZIL ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
AFRICA ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
AFRICA ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
ME ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
ME ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
EURASIA ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
EURASIA ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
RUS ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
RUS ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
ASIAPAC ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
ASIAPAC ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
CHINA ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
CHINA ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
INDIA ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
INDIA ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
ASEAN ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
ASEAN ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
DevelopingECO ,Avoided Coastal Impacts,pathway,AFOLU,Floor,0
DevelopingECO ,Avoided Coastal Impacts,baseline,AFOLU,Floor,0
 OECD ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
 OECD ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
NAM ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
NAM ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
US ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
US ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
EUR ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
EUR ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
EU ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
EU ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
SAFR ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
SAFR ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
JPN ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
JPN ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
AdvancedECO ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
AdvancedECO ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
NonOECD ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
NonOECD ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
World ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
World ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
CSAM ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
CSAM ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
BRAZIL ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
BRAZIL ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
AFRICA ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
AFRICA ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
ME ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
ME ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
EURASIA ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
EURASIA ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
RUS ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
RUS ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
ASIAPAC ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
ASIAPAC ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
CHINA ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
CHINA ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
INDIA ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
INDIA ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
ASEAN ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
ASEAN ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
DevelopingECO ,Avoided Coastal Impacts,pathway,AFOLU,Max annual growth,100
DevelopingECO ,Avoided Coastal Impacts,baseline,AFOLU,Max annual growth,100
 OECD ,Avoided Coastal Impacts,pathway,AFOLU,"Parameter a, max",0.0263
 OECD ,Avoided Coastal Impacts,baseline,AFOLU,"Parameter a, max",0
NAM ,Avoided Coastal Impacts,pathway,AFOLU,"Parameter a, max",0.0263
NAM ,Avoided Coastal Impacts,baseline,AFOLU,"Parameter a, max",0
US ,Avoided Coastal Impacts,pathway,AFOLU,"Parameter a, max",0.0263
US ,Avoided Coastal Impacts,baseline,AFOLU,"Parameter a, max",0
EUR ,Avoided Coastal Impacts,pathway,AFOLU,"Parameter a, max",0.0263
EUR ,Avoided Coastal Impacts,baseline,AFOLU,"Parameter a, max",0
EU ,Avoided Coastal Impacts,pathway,AFOLU,"Parameter a, max",0.0263
EU ,Avoided Coastal Impacts,baseline,AFOLU,"Parameter a, max",0
SAFR ,Avoided Coastal Impacts,pathway,AFOLU,"Parameter a, max",0.0263
SAFR ,Avoided Coastal Impacts,baseline,AFOLU,"Parameter a, max",0
JPN ,Avoided Coastal Impacts,pathway,AFOLU,"Parameter a, max",0.0263
