IEA Region,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,Oil products,Other final consumption (ktoe),4228.1337,4076.223,4937.5729,2911.2855,2893.3839,2861.24,3048.0081,3225.5374,3243.864,3505.2952,3336.5005,3449.2907,3090.1285,3541.2009,3662.0092,3804.4688,3644.2176,4145.0917,4400.5279,4600.922,4587.6398,4594.7716,4896.9809,5006.7593,5155.878,5247.6259,5173.0486,5327.2618,5302.3192,5442.6101,5523.0916,4792.8275,5956.3676,6185.4495,6394.9818,6201.5787,6216.0911,6162.8475,5886.6963,5715.3721,6370.8909,6956.9712,6689.7741,6798.7304,6176.5171,6528.8017,6531.2069,6571.3405,..
Australia,Natural gas,Production (ktoe),1792.8848,2582.9106,3381.5778,3872.5279,4191.3801,4481.1909,5649.3981,6116.939,6947.27,7467.0249,8732.4377,9630.804,10070.3783,10534.6733,11239.2949,12276.2683,12659.6733,13122.8934,13494.626,17139.7248,17825.7954,19402.644,20869.8194,22487.8117,24998.7532,25656.3199,25553.4394,26560.7481,27503.2674,28540.2623,29117.4334,30340.1548,29611.3715,29792.1324,31354.5572,36073.3018,38270.4643,39873.9037,41791.7455,44479.7721,47644.9699,45633.3405,53995.0774,55431.3414,58175.8598,69132.4592,88279.3852,101196.1522,122134.7012
Australia,Natural gas,Imports (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877.2141,3930.46,3712.8547,4375.8383,3821.1522,4419.0026,3935.0602,4412.6612,4697.8934,4315.3482,4867.6053,4439.3594,4009.3508,4341.7804
Australia,Natural gas,Exports (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2349.5271,-3976.7842,-5060.1892,-5945.9587,-6894.6045,-8255.503,-8848.8822,-8626.3972,-8945.6363,-9143.7231,-9265.4127,-8805.6105,-8886.9518,-9152.1496,-9254.3852,-12382.5236,-14066.853,-16760.0172,-15995.1634,-18048.1298,-20922.8934,-23371.9905,-22094.0241,-27524.0972,-27223.1298,-29362.9407,-43393.7016,-61435.8555,-72653.9123,-88144.9914
Australia,Natural gas,Total energy supply (ktoe),1792.8848,2582.9106,3381.5778,3872.5279,4191.3801,4481.1909,5649.3981,6116.939,6947.27,7467.0249,8732.4377,9630.804,10070.3783,10534.6733,11239.2949,12276.2683,12659.6733,13122.8934,13494.626,14790.1978,13849.0112,14342.4549,14923.8607,15593.2072,16743.2502,16807.4377,16927.0421,17615.1118,18359.5443,19274.8495,20311.8229,21453.2029,20459.2218,20537.7472,18972.0335,22883.6629,25440.9071,27591.595,28119.454,27378.031,28691.9819,27474.3766,30883.6414,32906.1049,33128.2674,30606.3629,31282.8891,32551.5907,38331.4902
Australia,Natural gas,"Electricity, CHP and heat plants (ktoe)",-514.08,-627.4721,-788.4996,-716.3156,-685.5331,-805.589,-1060.7265,-1147.9579,-1337.6612,-1531.5348,-2131.5778,-2615.3052,-2354.1272,-2666.1651,-2386.264,-2888.0051,-2772.9793,-3004.6432,-3086.8229,-3471.1522,-2611.1565,-2836.35,-2931.3414,-3145.1419,-3561.092,-3182.3302,-3098.4093,-3333.9424,-3857.9106,-4060.2322,-4413.3491,-7661.135,-4863.5641,-5222.9579,-5406.7283,-5158.3405,-7216.4446,-7972.528,-9203.5684,-9762.5322,-10080.202,-11061.6079,-11123.8608,-11410.7051,-11887.8332,-12018.7876,-12005.9329,-12301.8057,..
Australia,Natural gas,"Oil refineries, transformation (ktoe)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Australia,Natural gas,Total final consumption (ktoe),1008.8349,1676.4187,2112.7687,2450.6449,2750.3009,3010.0602,3480.675,3885.4686,4325.7309,5027.8375,5460.4901,5685.0172,5924.4196,6096.6466,6859.9527,7330.589,7782.8676,7907.3517,8176.3328,8655.2666,8710.5546,8877.1496,9092.6483,9513.1126,9990.9716,10142.5408,10311.9733,10644.282,10875.8169,11389.2519,12016.7455,11814.2949,12642.2829,12876.7197,12330.1591,12330.6535,12808.9209,12870.9802,12085.2752,12304.1488,12468.5297,12475.9028,13004.8581,13349.4411,13143.0997,12990.3697,12747.4205,12801.6767,..
Australia,Natural gas,Industry (ktoe),576.0103,1007.9966,1313.908,1663.5856,1816.2941,2015.7352,2280.5245,2569.669,2818.8736,3421.3242,3742.8418,3736.1565,3762.6182,3834.9527,4453.1599,4814.5314,5053.4394,5216.638,5386.5649,5576.3328,5634.0069,5671.1092,5746.1737,6142.5193,6327.7085,6293.2502,6358.448,6563.0267,6724.9785,7117.0249,7631.1264,7545.8298,7908.534,8113.4996,7550.0645,7473.2373,7898.8607,7821.7756,7129.9871,7137.6827,7205.9974,7194.8624,7035.2537,7030.1591,6678.9983,6366.595,6216.3586,6156.2124,..
Australia,Natural gas,Transport (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1788,9.0069,9.8237,10.2537,10.4041,9.9312,101.5262,122.5709,146.2382,167.5408,188.3921,198.9897,216.767,231.8143,259.0069,304.4067,329.3207,326.8487,356.7713,337.9622,364.1445,386.0705,400.5804,408.6844,301.7412,299.2261,284.3938,287.2098,306.5133,296.6251,315.4127,361.7584,372.7644,412.8332,..
